Location ID,Latitude,Longitude,Equipment Lane Count,Lane Count,Electricity Number,Billing Month,Electricity Consumption (kWh),Feeder Line Category,Power Outage Group,Billing Period (Start),Billing Period (End),Billing Date,Lighting Usage Category,Number of Usage Days Last Year (Second Half),Billed kWh - Regular (Peak),Number of Usage Days Same Period Last Year,Average Electricity Consumption,Electricity Usage Same Period Last Year,Electricity Usage Last Year (Second Half),Number of Usage Days This Period,Unnamed: 21,Station
01F0233N,25.07301944,121.5307028,5,4,00-03-9910-00-3,2024-07,2453,ZQ55,C,2024-04-29,2024-06-26,2024-07-03,B21,60,2453,61,2453,2457,2472,59,01F-023.3N,泰山
01F0233N,25.07301944,121.5307028,5,4,00-03-9910-00-3,2024-09,2672,ZQ55,C,2024-06-27,2024-08-28,2024-09-04,B21,61,2672,60,2672,2472,2375,63,01F-023.3N,泰山
01F0233N,25.07301944,121.5307028,5,4,00-03-9910-00-3,2024-11,2605,ZQ55,C,2024-08-29,2024-10-29,2024-11-05,B21,63,2605,61,2605,2375,2573,62,01F-023.3N,泰山
01F0233N,25.07301944,121.5307028,5,4,00-03-9910-00-3,2025-01,2294,ZQ55,C,2024-10-30,2024-12-26,2025-01-06,B21,61,2294,63,2294,2573,2418,58,01F-023.3N,泰山
01F0256N,25.07806667,121.5091056,6,4,00-21-9981-00-1,2024-05,2645,SA39,A,2024-02-27,2024-05-02,2024-05-09,B21,61,2645,56,983,2213,2454,66,01F-025.6N,泰山
01F0256N,25.07806667,121.5091056,6,4,00-21-9981-00-1,2024-07,2486,SA39,A,2024-05-03,2024-07-01,2024-07-08,B21,62,2486,61,1160,2454,2563,60,01F-025.6N,泰山
01F0256N,25.07806667,121.5091056,6,4,00-21-9981-00-1,2024-09,2651,SA39,A,2024-07-02,2024-09-02,2024-09-09,B21,59,2651,62,1430,2563,2380,63,01F-025.6N,泰山
01F0256N,25.07806667,121.5091056,6,4,00-21-9981-00-1,2024-11,2558,SA39,A,2024-09-03,2024-11-03,2024-11-08,B21,63,2558,59,1174,2380,2460,62,01F-025.6N,泰山
01F0256N,25.07806667,121.5091056,6,4,00-21-9981-00-1,2025-01,2215,SA39,A,2024-11-04,2024-12-29,2025-01-07,B21,61,2215,63,786,2460,2400,56,01F-025.6N,泰山
01H0206S,25.07275,121.557739,3,2,00-35-7552-00-4,2024-07,2073,ZQ58,H,2024-04-25,2024-06-24,2024-07-01,B21,64,2073,57,3913,1842,2189,61,01H-020.6S,泰山
01H0206S,25.07275,121.557739,3,2,00-35-7552-00-4,2024-09,2183,ZQ58,H,2024-06-25,2024-08-26,2024-09-02,B21,61,2183,64,4557,2189,2042,63,01H-020.6S,泰山
01H0206S,25.07275,121.557739,3,2,00-35-7552-00-4,2024-11,2141,ZQ58,H,2024-08-27,2024-10-27,2024-11-01,B21,63,2141,61,4281,2042,2016,62,01H-020.6S,泰山
01H0206S,25.07275,121.557739,3,2,00-35-7552-00-4,2025-01,1902,ZQ58,H,2024-10-28,2024-12-24,2025-01-02,B21,59,1902,63,3565,2016,1891,58,01H-020.6S,泰山
01F0213N,25.073053,121.550358,3,2,00-35-7553-00-5,2024-07,2287,ZQ58,H,2024-04-25,2024-06-24,2024-07-01,B21,64,2287,57,3913,2080,2446,61,01F-021.3N,泰山
01F0213N,25.073053,121.550358,3,2,00-35-7553-00-5,2024-09,2428,ZQ58,H,2024-06-25,2024-08-26,2024-09-02,B21,61,2428,64,4557,2446,2334,63,01F-021.3N,泰山
01F0213N,25.073053,121.550358,3,2,00-35-7553-00-5,2024-11,2406,ZQ58,H,2024-08-27,2024-10-27,2024-11-01,B21,63,2406,61,4281,2334,2242,62,01F-021.3N,泰山
01F0213N,25.073053,121.550358,3,2,00-35-7553-00-5,2025-01,2087,ZQ58,H,2024-10-28,2024-12-24,2025-01-02,B21,59,2087,63,3565,2242,2072,58,01F-021.3N,泰山
01H0200N,25.070994,121.562519,3,2,00-83-5531-08-1,2024-06,2091,SZ34,H,2024-04-18,2024-06-18,2024-06-27,B21,61,2091,56,4225,1826,2117,62,01H-020.0N,泰山
01H0200N,25.070994,121.562519,3,2,00-83-5531-08-1,2024-08,2180,SZ34,H,2024-06-19,2024-08-19,2024-08-26,B21,64,2180,61,5377,2117,2175,62,01H-020.0N,泰山
01H0200N,25.070994,121.562519,3,2,00-83-5531-08-1,2024-10,2190,SZ34,H,2024-08-20,2024-10-20,2024-10-25,B21,58,2190,64,5529,2175,1857,62,01H-020.0N,泰山
01H0200N,25.070994,121.562519,3,2,00-83-5531-08-1,2024-12,1960,SZ34,H,2024-10-21,2024-12-18,2024-12-25,B21,68,1960,58,4005,1857,2151,59,01H-020.0N,泰山
01H0208N,25.072261,121.555014,3,2,00-83-6302-08-6,2024-06,2090,SZ34,H,2024-04-18,2024-06-18,2024-06-27,B21,61,2090,56,4225,1841,2133,62,01H-020.8N,泰山
01H0208N,25.072261,121.555014,3,2,00-83-6302-08-6,2024-08,2168,SZ34,H,2024-06-19,2024-08-19,2024-08-26,B21,64,2168,61,5377,2133,2188,62,01H-020.8N,泰山
01H0208N,25.072261,121.555014,3,2,00-83-6302-08-6,2024-10,2151,SZ34,H,2024-08-20,2024-10-20,2024-10-25,B21,58,2151,64,5529,2188,1849,62,01H-020.8N,泰山
01H0208N,25.072261,121.555014,3,2,00-83-6302-08-6,2024-12,1914,SZ34,H,2024-10-21,2024-12-18,2024-12-25,B21,68,1914,58,4005,1849,2118,59,01H-020.8N,泰山
03A0015S,25.011819,121.562375,3,2,00-90-9740-00-3,2024-06,2840,SY38,A,2024-04-12,2024-06-12,2024-06-21,G08,61,2840,56,無,2636,2934,62,03A-001.5SN,樹林
03A0015S,25.011819,121.562375,3,2,00-90-9740-00-3,2024-08,2869,SY38,A,2024-06-13,2024-08-13,2024-08-20,G08,64,2869,61,無,2934,2945,62,03A-001.5SN,樹林
03A0015S,25.011819,121.562375,3,2,00-90-9740-00-3,2024-10,2861,SY38,A,2024-08-14,2024-10-14,2024-10-21,G08,58,2861,64,無,2945,2587,62,03A-001.5SN,樹林
03A0015S,25.011819,121.562375,3,2,00-90-9740-00-3,2024-12,2675,SY38,A,2024-10-15,2024-12-12,2024-12-19,G08,69,2675,58,無,2587,3071,59,03A-001.5SN,樹林
03F0301S,24.96255,121.530572,4,3,01-51-0999-00-0,2024-06,3465,W427,D,2024-03-25,2024-05-23,2024-06-03,G08,59,3465,60,2317,3260,3378,60,03F-030.1SN,樹林
03F0301S,24.96255,121.530572,4,3,01-51-0999-00-0,2024-08,3678,W427,D,2024-05-24,2024-07-25,2024-08-01,G08,62,3678,59,2866,3378,3569,63,03F-030.1SN,樹林
03F0301S,24.96255,121.530572,4,3,01-51-0999-00-0,2024-10,3527,W427,D,2024-07-26,2024-09-24,2024-10-01,G08,62,3527,62,2937,3569,3503,61,03F-030.1SN,樹林
03F0301S,24.96255,121.530572,4,3,01-51-0999-00-0,2024-12,3479,W427,D,2024-09-25,2024-11-25,2024-12-02,G08,62,3479,62,2354,3503,3387,62,03F-030.1SN,樹林
03F0301S,24.96255,121.530572,4,3,01-58-0346-03-0,2024-07,4536,WZ24,A,2024-04-25,2024-06-24,2024-07-01,G08,64,4536,57,4536,4112,4820,61,03F-030.1SN,樹林
03F0301S,24.96255,121.530572,4,3,01-58-0346-03-0,2024-09,4799,WZ24,A,2024-06-25,2024-08-26,2024-09-02,G08,61,4799,64,4799,4820,4486,63,03F-030.1SN,樹林
03F0301S,24.96255,121.530572,4,3,01-58-0346-03-0,2024-11,4621,WZ24,A,2024-08-27,2024-10-27,2024-11-01,G08,63,4621,61,4621,4486,4427,62,03F-030.1SN,樹林
03F0301S,24.96255,121.530572,4,3,01-58-0346-03-0,2025-01,4056,WZ24,A,2024-10-28,2024-12-24,2025-01-02,G08,59,4056,63,4056,4427,4161,58,03F-030.1SN,樹林
03F0337S,24.978881,121.502381,4,3,01-68-6567-02-2,2024-06,2258,WB25,H,2024-04-11,2024-06-11,2024-06-20,G08,61,2258,56,4906,1949,2266,62,03F-033.7S,樹林
03F0337S,24.978881,121.502381,4,3,01-68-6567-02-2,2024-08,2313,WB25,H,2024-06-12,2024-08-12,2024-08-19,G08,60,2313,61,5959,2266,2188,62,03F-033.7S,樹林
03F0337S,24.978881,121.502381,4,3,01-68-6567-02-2,2024-10,2278,WB25,H,2024-08-13,2024-10-13,2024-10-18,G08,62,2278,60,5598,2188,2176,62,03F-033.7S,樹林
03F0337S,24.978881,121.502381,4,3,01-68-6567-02-2,2024-12,2088,WB25,H,2024-10-14,2024-12-11,2024-12-18,G08,62,2088,62,4191,2176,2139,59,03F-033.7S,樹林
03F0338N,24.978586,121.501744,4,3,01-68-6567-04-4,2024-06,2263,WB25,H,2024-04-11,2024-06-11,2024-06-20,G08,61,2263,56,4906,1910,2320,62,03F-033.8N,樹林
03F0338N,24.978586,121.501744,4,3,01-68-6567-04-4,2024-08,2286,WB25,H,2024-06-12,2024-08-12,2024-08-19,G08,60,2286,61,5959,2320,2232,62,03F-033.8N,樹林
03F0338N,24.978586,121.501744,4,3,01-68-6567-04-4,2024-10,2258,WB25,H,2024-08-13,2024-10-13,2024-10-18,G08,62,2258,60,5598,2232,2384,62,03F-033.8N,樹林
03F0338N,24.978586,121.501744,4,3,01-68-6567-04-4,2024-12,2081,WB25,H,2024-10-14,2024-12-11,2024-12-18,G08,62,2081,62,4191,2384,1925,59,03F-033.8N,樹林
03F0301S,24.96255,121.530572,4,3,01-75-1078-00-6,2024-07,4020,WM27,E,2024-04-29,2024-06-26,2024-07-03,G08,60,4020,61,1385,4431,4207,59,03F-030.1SN,樹林
03F0301S,24.96255,121.530572,4,3,01-75-1078-00-6,2024-09,4321,WM33,E,2024-06-27,2024-08-28,2024-09-04,G08,61,4321,60,1746,4207,4226,63,03F-030.1SN,樹林
03F0301S,24.96255,121.530572,4,3,01-75-1078-00-6,2024-11,4180,WM33,E,2024-08-29,2024-10-29,2024-11-05,G08,63,4180,61,1590,4226,4227,62,03F-030.1SN,樹林
03F0301S,24.96255,121.530572,4,3,01-75-1078-00-6,2025-01,3804,WM33,E,2024-10-30,2024-12-26,2025-01-06,G08,61,3804,63,1037,4227,4076,58,03F-030.1SN,樹林
03F0394S,24.975247,121.454925,5,4,01-75-9551-00-7,2024-05,3939,W529,E,2024-03-04,2024-05-05,2024-05-10,G08,57,3939,60,7365,3864,3752,63,03F-039.4SN,樹林
