Station,gantry,Latitude,Longitude,Lane Count,Month,Estimated Monthly Consumption (kWh),ClimateType
后里,01F-104.5N,24.727131,120.951897,3.0,5,1738.5,-0.7376377947260095
后里,01F-104.5N,24.727131,120.951897,3.0,6,1738.5,-0.42935486784714233
后里,01F-104.5N,24.727131,120.951897,3.0,7,1908.0,-0.3130946011290729
后里,01F-104.5N,24.727131,120.951897,3.0,8,1908.0,0.08616973104597388
后里,01F-104.5N,24.727131,120.951897,3.0,9,1796.0,-0.3712525215904121
后里,01F-104.5N,24.727131,120.951897,3.0,10,1796.0,-0.4265362130374684
后里,01F-104.5N,24.727131,120.951897,3.0,11,1745.5,-0.29242615239402764
后里,01F-104.5N,24.727131,120.951897,3.0,12,1745.5,-0.6779990847065911
后里,01F-112.3N,24.67931667,120.9042667,3.0,4,1622.5,-0.6577695052957384
后里,01F-112.3N,24.67931667,120.9042667,3.0,5,1622.5,-0.6595468997342978
后里,01F-112.3N,24.67931667,120.9042667,3.0,6,1944.5,-0.38735410782377355
后里,01F-112.3N,24.67931667,120.9042667,3.0,7,1944.5,-0.2812972922238807
后里,01F-112.3N,24.67931667,120.9042667,3.0,8,1633.0,0.1322625805563138
后里,01F-112.3N,24.67931667,120.9042667,3.0,9,1633.0,-0.36170078613823853
后里,01F-112.3N,24.67931667,120.9042667,3.0,10,1649.0,-0.21907554060702178
后里,01F-112.3N,24.67931667,120.9042667,3.0,11,1649.0,-0.1847805305439942
后里,01F-129.2S,24.550442,120.838925,3.0,4,1680.0,-0.5032048323021477
后里,01F-129.2S,24.550442,120.838925,3.0,5,1680.0,-0.6274370020966433
后里,01F-129.2S,24.550442,120.838925,3.0,6,1590.0,-0.36059409277517485
后里,01F-129.2S,24.550442,120.838925,3.0,7,1590.0,-0.28241786795027163
后里,01F-129.2S,24.550442,120.838925,3.0,8,1567.0,0.2052245489708324
后里,01F-129.2S,24.550442,120.838925,3.0,9,1567.0,-0.3959249881333569
后里,01F-129.2S,24.550442,120.838925,3.0,10,1842.5,-0.07950432829376049
后里,01F-129.2S,24.550442,120.838925,3.0,11,1842.5,-0.09116505228721553
后里,01F-138.9S,24.485919,120.781903,3.0,3,1719.0,-0.5236220052548375
后里,01F-138.9S,24.485919,120.781903,3.0,4,1719.0,-0.4164742495832323
后里,01F-138.9S,24.485919,120.781903,3.0,5,1615.5,-0.5091360952148061
后里,01F-138.9S,24.485919,120.781903,3.0,6,1615.5,-0.25502963992622
后里,01F-138.9S,24.485919,120.781903,3.0,7,1820.0,-0.3091069482723614
后里,01F-138.9S,24.485919,120.781903,3.0,8,1820.0,0.1557745079331643
后里,01F-138.9S,24.485919,120.781903,3.0,9,1734.0,-0.4138729342167489
后里,01F-138.9S,24.485919,120.781903,3.0,10,1734.0,0.0593639528086231
后里,01F-146.5N,24.420514,120.775731,3.0,4,1648.5,-0.3575756025331396
后里,01F-146.5N,24.420514,120.775731,3.0,5,1648.5,-0.4301389642321167
后里,01F-146.5N,24.420514,120.775731,3.0,6,1863.0,-0.1793808789048434
后里,01F-146.5N,24.420514,120.775731,3.0,7,1863.0,-0.2914525598951926
后里,01F-146.5N,24.420514,120.775731,3.0,8,1619.5,0.1505775343406355
后里,01F-146.5N,24.420514,120.775731,3.0,9,1619.5,-0.40648125033990096
后里,01F-146.5N,24.420514,120.775731,3.0,10,1662.5,0.1596264024231509
后里,01F-146.5N,24.420514,120.775731,3.0,11,1662.5,0.07494864064704888
后里,01F-157.2S,24.339147,120.72085,3.0,4,1669.5,-0.2738955489870651
后里,01F-157.2S,24.339147,120.72085,3.0,5,1669.5,-0.3317564015753194
后里,01F-157.2S,24.339147,120.72085,3.0,6,1731.5,-0.09796753828047818
后里,01F-157.2S,24.339147,120.72085,3.0,7,1731.5,-0.2630052991953916
后里,01F-157.2S,24.339147,120.72085,3.0,8,1655.0,0.14783559720043074
后里,01F-157.2S,24.339147,120.72085,3.0,9,1655.0,-0.40722179921217083
后里,01F-157.2S,24.339147,120.72085,3.0,10,1507.0,0.2933323584555365
后里,01F-157.2S,24.339147,120.72085,3.0,11,1507.0,0.15852687458338274
后里,01F-162.1N,24.301186,120.697325,3.0,3,1691.5,-0.2788103669449064
后里,01F-162.1N,24.301186,120.697325,3.0,4,1691.5,-0.23765991196665712
后里,01F-162.1N,24.301186,120.697325,3.0,5,1720.0,-0.29118972558634043
后里,01F-162.1N,24.301186,120.697325,3.0,6,1720.0,-0.07121471962371352
后里,01F-162.1N,24.301186,120.697325,3.0,7,1816.0,-0.24960232476543123
后里,01F-162.1N,24.301186,120.697325,3.0,8,1816.0,0.14245394118114488
后里,01F-162.1N,24.301186,120.697325,3.0,9,1759.0,-0.4162158126069679
后里,01F-162.1N,24.301186,120.697325,3.0,10,1759.0,0.349498506076232
后里,01F-166.4S,24.262647,120.691956,4.0,3,2072.0,-0.24043489529183
后里,01F-166.4S,24.262647,120.691956,4.0,4,2072.0,-0.20546579606960683
后里,01F-166.4S,24.262647,120.691956,4.0,5,2040.0,-0.2556069521859934
后里,01F-166.4S,24.262647,120.691956,4.0,6,2040.0,-0.05616772101997801
后里,01F-166.4S,24.262647,120.691956,4.0,7,2151.0,-0.2387194225191023
后里,01F-166.4S,24.262647,120.691956,4.0,8,2151.0,0.1300069448684329
后里,01F-166.4S,24.262647,120.691956,4.0,9,2037.5,-0.43540170205358725
后里,01F-166.4S,24.262647,120.691956,4.0,10,2037.5,0.3979672255363134
后里,01F-169.9S,24.231536,120.686625,3.0,3,1900.0,-0.16407596720696466
后里,01F-169.9S,24.231536,120.686625,3.0,4,1900.0,-0.12863185479902103
后里,01F-169.9S,24.231536,120.686625,3.0,5,1783.5,-0.19506066944258185
后里,01F-169.9S,24.231536,120.686625,3.0,6,1783.5,-0.02705415493825017
后里,01F-169.9S,24.231536,120.686625,3.0,7,1949.0,-0.2605490109816036
后里,01F-169.9S,24.231536,120.686625,3.0,8,1949.0,0.10987948637599693
后里,01F-169.9S,24.231536,120.686625,3.0,9,1812.5,-0.4634034097864955
后里,01F-169.9S,24.231536,120.686625,3.0,10,1812.5,0.4814677278901487
后里,03F-112.8S,24.711383,120.889639,3.0,3,1611.5,-0.7322593823188074
后里,03F-112.8S,24.711383,120.889639,3.0,4,1611.5,-0.6785501977478509
后里,03F-112.8S,24.711383,120.889639,3.0,5,1588.5,-0.6673119816013273
后里,03F-112.8S,24.711383,120.889639,3.0,6,1588.5,-0.3882073438627166
后里,03F-112.8S,24.711383,120.889639,3.0,7,1730.0,-0.2871173443797707
后里,03F-112.8S,24.711383,120.889639,3.0,8,1730.0,0.11578014529309989
后里,03F-112.8S,24.711383,120.889639,3.0,9,1623.5,-0.36602892109317553
后里,03F-112.8S,24.711383,120.889639,3.0,10,1623.5,-0.24217872875176485
后里,03F-116.1N,24.698006,120.860086,3.0,3,1649.5,-0.7188476067545931
后里,03F-116.1N,24.698006,120.860086,3.0,4,1649.5,-0.6464788080545825
后里,03F-116.1N,24.698006,120.860086,3.0,5,1627.5,-0.655298535545152
后里,03F-116.1N,24.698006,120.860086,3.0,6,1627.5,-0.3868920915648947
后里,03F-116.1N,24.698006,120.860086,3.0,7,1734.5,-0.279218197638708
后里,03F-116.1N,24.698006,120.860086,3.0,8,1734.5,0.13933244057466557
后里,03F-116.1N,24.698006,120.860086,3.0,9,1655.0,-0.3612773214951269
后里,03F-116.1N,24.698006,120.860086,3.0,10,1655.0,-0.20687471302133295
后里,03F-121.5N,24.655964,120.838242,3.0,4,1558.5,-0.5979172513023339
后里,03F-121.5N,24.655964,120.838242,3.0,5,1558.5,-0.644329105916345
后里,03F-121.5N,24.655964,120.838242,3.0,6,1739.0,-0.390217616069397
后里,03F-121.5N,24.655964,120.838242,3.0,7,1739.0,-0.28012317874446646
后里,03F-121.5N,24.655964,120.838242,3.0,8,1678.5,0.16475991140855464
后里,03F-121.5N,24.655964,120.838242,3.0,9,1678.5,-0.36898406470517614
后里,03F-121.5N,24.655964,120.838242,3.0,10,1650.0,-0.1615300721164424
后里,03F-121.5N,24.655964,120.838242,3.0,11,1650.0,-0.15402631957393176
后里,03F-125.7N,24.627161,120.814006,3.0,4,1674.5,-0.5243260600739542
后里,03F-125.7N,24.627161,120.814006,3.0,5,1674.5,-0.6106158499145462
后里,03F-125.7N,24.627161,120.814006,3.0,6,1762.0,-0.31944714417547343
后里,03F-125.7N,24.627161,120.814006,3.0,7,1762.0,-0.25237443890614425
后里,03F-125.7N,24.627161,120.814006,3.0,8,1612.0,0.20031363151109127
后里,03F-125.7N,24.627161,120.814006,3.0,9,1612.0,-0.37401367994025675
后里,03F-125.7N,24.627161,120.814006,3.0,10,1550.0,-0.08084394301198988
后里,03F-125.7N,24.627161,120.814006,3.0,11,1550.0,-0.08574976146207905
后里,03F-133.2N,24.579642,120.764417,3.0,4,1580.0,-0.4620100269400017
后里,03F-133.2N,24.579642,120.764417,3.0,5,1580.0,-0.5718784134813208
后里,03F-133.2N,24.579642,120.764417,3.0,6,1626.0,-0.3171616106119817
后里,03F-133.2N,24.579642,120.764417,3.0,7,1626.0,-0.3225188818897641
后里,03F-133.2N,24.579642,120.764417,3.0,8,1497.0,0.15986293466100368
后里,03F-133.2N,24.579642,120.764417,3.0,9,1497.0,-0.421596840828036
后里,03F-133.2N,24.579642,120.764417,3.0,10,1519.0,-0.019294870279330394
后里,03F-133.2N,24.579642,120.764417,3.0,11,1519.0,-0.045053538798937434
后里,03F-139.5S,24.531125,120.733253,3.0,4,1822.5,-0.4240857250059415
后里,03F-139.5S,24.531125,120.733253,3.0,5,1822.5,-0.5159690710468519
后里,03F-139.5S,24.531125,120.733253,3.0,6,1864.5,-0.259013364567306
后里,03F-139.5S,24.531125,120.733253,3.0,7,1864.5,-0.3104404862619143
后里,03F-139.5S,24.531125,120.733253,3.0,8,1707.0,0.1544253166458955
