,Station,gantry,Latitude,Longitude,Equipment Lane Count,Lane Count,Billing Month,Electricity Consumption (kWh),Feeder Line Category,Power Outage Group,Billing Period (Start),Billing Period (End),Lighting Usage Category,Number of Usage Days Last Year (Second Half),Billed kWh - Regular (Peak),Number of Usage Days Same Period Last Year,Average Electricity Consumption,Electricity Usage Same Period Last Year,Electricity Usage Last Year (Second Half),Number of Usage Days This Period
0,泰山,01F-023.3N,25.07301944,121.5307028,5.0,4.0,07,2453,ZQ55,C,2024-04-29,2024-06-26,B21,60,2453,61,2453,2457,2472,59
1,泰山,01F-023.3N,25.07301944,121.5307028,5.0,4.0,09,2672,ZQ55,C,2024-06-27,2024-08-28,B21,61,2672,60,2672,2472,2375,63
2,泰山,01F-023.3N,25.07301944,121.5307028,5.0,4.0,11,2605,ZQ55,C,2024-08-29,2024-10-29,B21,63,2605,61,2605,2375,2573,62
3,泰山,01F-023.3N,25.07301944,121.5307028,5.0,4.0,01,2294,ZQ55,C,2024-10-30,2024-12-26,B21,61,2294,63,2294,2573,2418,58
4,泰山,01F-025.6N,25.07806667,121.5091056,6.0,4.0,05,2645,SA39,A,2024-02-27,2024-05-02,B21,61,2645,56,983,2213,2454,66
5,泰山,01F-025.6N,25.07806667,121.5091056,6.0,4.0,07,2486,SA39,A,2024-05-03,2024-07-01,B21,62,2486,61,1160,2454,2563,60
6,泰山,01F-025.6N,25.07806667,121.5091056,6.0,4.0,09,2651,SA39,A,2024-07-02,2024-09-02,B21,59,2651,62,1430,2563,2380,63
7,泰山,01F-025.6N,25.07806667,121.5091056,6.0,4.0,11,2558,SA39,A,2024-09-03,2024-11-03,B21,63,2558,59,1174,2380,2460,62
8,泰山,01F-025.6N,25.07806667,121.5091056,6.0,4.0,01,2215,SA39,A,2024-11-04,2024-12-29,B21,61,2215,63,786,2460,2400,56
9,泰山,01H-020.6S,25.07275,121.557739,3.0,2.0,07,2073,ZQ58,H,2024-04-25,2024-06-24,B21,64,2073,57,3913,1842,2189,61
10,泰山,01H-020.6S,25.07275,121.557739,3.0,2.0,09,2183,ZQ58,H,2024-06-25,2024-08-26,B21,61,2183,64,4557,2189,2042,63
11,泰山,01H-020.6S,25.07275,121.557739,3.0,2.0,11,2141,ZQ58,H,2024-08-27,2024-10-27,B21,63,2141,61,4281,2042,2016,62
12,泰山,01H-020.6S,25.07275,121.557739,3.0,2.0,01,1902,ZQ58,H,2024-10-28,2024-12-24,B21,59,1902,63,3565,2016,1891,58
13,泰山,01F-021.3N,25.073053,121.550358,3.0,2.0,07,2287,ZQ58,H,2024-04-25,2024-06-24,B21,64,2287,57,3913,2080,2446,61
14,泰山,01F-021.3N,25.073053,121.550358,3.0,2.0,09,2428,ZQ58,H,2024-06-25,2024-08-26,B21,61,2428,64,4557,2446,2334,63
15,泰山,01F-021.3N,25.073053,121.550358,3.0,2.0,11,2406,ZQ58,H,2024-08-27,2024-10-27,B21,63,2406,61,4281,2334,2242,62
16,泰山,01F-021.3N,25.073053,121.550358,3.0,2.0,01,2087,ZQ58,H,2024-10-28,2024-12-24,B21,59,2087,63,3565,2242,2072,58
17,泰山,01H-020.0N,25.070994,121.562519,3.0,2.0,06,2091,SZ34,H,2024-04-18,2024-06-18,B21,61,2091,56,4225,1826,2117,62
18,泰山,01H-020.0N,25.070994,121.562519,3.0,2.0,08,2180,SZ34,H,2024-06-19,2024-08-19,B21,64,2180,61,5377,2117,2175,62
19,泰山,01H-020.0N,25.070994,121.562519,3.0,2.0,10,2190,SZ34,H,2024-08-20,2024-10-20,B21,58,2190,64,5529,2175,1857,62
20,泰山,01H-020.0N,25.070994,121.562519,3.0,2.0,12,1960,SZ34,H,2024-10-21,2024-12-18,B21,68,1960,58,4005,1857,2151,59
21,泰山,01H-020.8N,25.072261,121.555014,3.0,2.0,06,2090,SZ34,H,2024-04-18,2024-06-18,B21,61,2090,56,4225,1841,2133,62
22,泰山,01H-020.8N,25.072261,121.555014,3.0,2.0,08,2168,SZ34,H,2024-06-19,2024-08-19,B21,64,2168,61,5377,2133,2188,62
23,泰山,01H-020.8N,25.072261,121.555014,3.0,2.0,10,2151,SZ34,H,2024-08-20,2024-10-20,B21,58,2151,64,5529,2188,1849,62
24,泰山,01H-020.8N,25.072261,121.555014,3.0,2.0,12,1914,SZ34,H,2024-10-21,2024-12-18,B21,68,1914,58,4005,1849,2118,59
25,樹林,03A-001.5SN,25.011819,121.562375,3.0,2.0,06,2840,SY38,A,2024-04-12,2024-06-12,G08,61,2840,56,無,2636,2934,62
26,樹林,03A-001.5SN,25.011819,121.562375,3.0,2.0,08,2869,SY38,A,2024-06-13,2024-08-13,G08,64,2869,61,無,2934,2945,62
27,樹林,03A-001.5SN,25.011819,121.562375,3.0,2.0,10,2861,SY38,A,2024-08-14,2024-10-14,G08,58,2861,64,無,2945,2587,62
28,樹林,03A-001.5SN,25.011819,121.562375,3.0,2.0,12,2675,SY38,A,2024-10-15,2024-12-12,G08,69,2675,58,無,2587,3071,59
29,樹林,03F-030.1SN,24.96255,121.530572,4.0,3.0,06,3465,W427,D,2024-03-25,2024-05-23,G08,59,3465,60,2317,3260,3378,60
