Station,gantry,Latitude,Longitude,Lane Count,Billing Month,Electricity Consumption (kWh),Billing Period (Start),Billing Period (End)
泰山,01F-023.3N,25.07301944,121.5307028,4,7,2453,2024-04-29,2024-06-26
泰山,01F-023.3N,25.07301944,121.5307028,4,9,2672,2024-06-27,2024-08-28
泰山,01F-023.3N,25.07301944,121.5307028,4,11,2605,2024-08-29,2024-10-29
泰山,01F-023.3N,25.07301944,121.5307028,4,1,2294,2024-10-30,2024-12-26
泰山,01F-025.6N,25.07806667,121.5091056,4,5,2645,2024-02-27,2024-05-02
泰山,01F-025.6N,25.07806667,121.5091056,4,7,2486,2024-05-03,2024-07-01
泰山,01F-025.6N,25.07806667,121.5091056,4,9,2651,2024-07-02,2024-09-02
泰山,01F-025.6N,25.07806667,121.5091056,4,11,2558,2024-09-03,2024-11-03
泰山,01F-025.6N,25.07806667,121.5091056,4,1,2215,2024-11-04,2024-12-29
泰山,01H-020.6S,25.07275,121.557739,2,7,2073,2024-04-25,2024-06-24
泰山,01H-020.6S,25.07275,121.557739,2,9,2183,2024-06-25,2024-08-26
泰山,01H-020.6S,25.07275,121.557739,2,11,2141,2024-08-27,2024-10-27
泰山,01H-020.6S,25.07275,121.557739,2,1,1902,2024-10-28,2024-12-24
泰山,01F-021.3N,25.073053,121.550358,2,7,2287,2024-04-25,2024-06-24
泰山,01F-021.3N,25.073053,121.550358,2,9,2428,2024-06-25,2024-08-26
泰山,01F-021.3N,25.073053,121.550358,2,11,2406,2024-08-27,2024-10-27
泰山,01F-021.3N,25.073053,121.550358,2,1,2087,2024-10-28,2024-12-24
泰山,01H-020.0N,25.070994,121.562519,2,6,2091,2024-04-18,2024-06-18
泰山,01H-020.0N,25.070994,121.562519,2,8,2180,2024-06-19,2024-08-19
泰山,01H-020.0N,25.070994,121.562519,2,10,2190,2024-08-20,2024-10-20
泰山,01H-020.0N,25.070994,121.562519,2,12,1960,2024-10-21,2024-12-18
泰山,01H-020.8N,25.072261,121.555014,2,6,2090,2024-04-18,2024-06-18
泰山,01H-020.8N,25.072261,121.555014,2,8,2168,2024-06-19,2024-08-19
泰山,01H-020.8N,25.072261,121.555014,2,10,2151,2024-08-20,2024-10-20
泰山,01H-020.8N,25.072261,121.555014,2,12,1914,2024-10-21,2024-12-18
