Station,gantry,Latitude,Longitude,Lane Count,Month,ClimateType,Estimated Monthly Consumption (kWh)
后里,01F-104.5N,24.727131,120.951897,3.0,5,-1,1738.5
后里,01F-104.5N,24.727131,120.951897,3.0,6,-1,1738.5
后里,01F-104.5N,24.727131,120.951897,3.0,7,-1,1908.0
后里,01F-104.5N,24.727131,120.951897,3.0,8,-1,1908.0
后里,01F-104.5N,24.727131,120.951897,3.0,9,-1,1796.0
后里,01F-104.5N,24.727131,120.951897,3.0,10,-1,1796.0
后里,01F-104.5N,24.727131,120.951897,3.0,11,-1,1745.5
后里,01F-104.5N,24.727131,120.951897,3.0,12,-1,1745.5
后里,01F-112.3N,24.67931667,120.9042667,3.0,4,-1,1622.5
后里,01F-112.3N,24.67931667,120.9042667,3.0,5,-1,1622.5
后里,01F-112.3N,24.67931667,120.9042667,3.0,6,-1,1944.5
后里,01F-112.3N,24.67931667,120.9042667,3.0,7,-1,1944.5
后里,01F-112.3N,24.67931667,120.9042667,3.0,8,-1,1633.0
后里,01F-112.3N,24.67931667,120.9042667,3.0,9,-1,1633.0
后里,01F-112.3N,24.67931667,120.9042667,3.0,10,-1,1649.0
后里,01F-112.3N,24.67931667,120.9042667,3.0,11,-1,1649.0
后里,01F-129.2S,24.550442,120.838925,3.0,4,-1,1680.0
后里,01F-129.2S,24.550442,120.838925,3.0,5,-1,1680.0
后里,01F-129.2S,24.550442,120.838925,3.0,6,-1,1590.0
后里,01F-129.2S,24.550442,120.838925,3.0,7,-1,1590.0
后里,01F-129.2S,24.550442,120.838925,3.0,8,-1,1567.0
后里,01F-129.2S,24.550442,120.838925,3.0,9,-1,1567.0
后里,01F-129.2S,24.550442,120.838925,3.0,10,-1,1842.5
后里,01F-129.2S,24.550442,120.838925,3.0,11,-1,1842.5
后里,01F-138.9S,24.485919,120.781903,3.0,3,-1,1719.0
后里,01F-138.9S,24.485919,120.781903,3.0,4,-1,1719.0
后里,01F-138.9S,24.485919,120.781903,3.0,5,-1,1615.5
后里,01F-138.9S,24.485919,120.781903,3.0,6,-1,1615.5
后里,01F-138.9S,24.485919,120.781903,3.0,7,-1,1820.0
后里,01F-138.9S,24.485919,120.781903,3.0,8,-1,1820.0
后里,01F-138.9S,24.485919,120.781903,3.0,9,-1,1734.0
后里,01F-138.9S,24.485919,120.781903,3.0,10,-1,1734.0
后里,01F-146.5N,24.420514,120.775731,3.0,4,-1,1648.5
后里,01F-146.5N,24.420514,120.775731,3.0,5,-1,1648.5
后里,01F-146.5N,24.420514,120.775731,3.0,6,-1,1863.0
