點位編號,緯度,經度,點位座標,設備車道數,車道數,電號,用電地址,收費月份,用電度數,應繳總金額,繳費狀況,繳費期限,代收截止日,饋線別,停電組別,計費期間(起),計費期間(訖),收費日期,收費戶區,戶名,通訊地址,統編,上次抄表日,本次抄表日,下次抄表日,代繳帳號,下次收費日,終契日期,停電日期,停電日數,服務所,行業別,電燈用途別,電價種類,時間種類,扣款日,本期碳排量,去年全年平均電價,當期每度平均電價,查核碼,去年下期用電日數,計費度數－經常（尖峰）度數,上期預繳餘額,去年同期用電日數,調整係數（％）,功率因數調整費,基本電費（約定）,基本電費（非約定）,經常（尖峰）需量,離峰需量,本期預繳餘額,稅前應繳總金額,平均用電度數,用電超出比例,加〈減〉收金額,停電扣減金額,電價調整金額,計費度數－週六半尖峰度數,週六半尖峰需量,去年同期應繳總金額,去年同期用電度數,營業稅,功率因數（％）,計費度數－離峰度數,經常（尖峰）契約,底度,電子帳單優惠減收金額,去年下期用電度數,流動電費,遲付費用,本期用電日數,收費區,維運站,備註,資料提供
Location ID,Latitude,Longitude,Location Coordinates,Equipment Lane Count,Lane Count,Electricity Number,Electricity Usage Address,Billing Month,Electricity Consumption (kWh),Total Amount Payable,Payment Status,Payment Due Date,Collection Cut-off Date,Feeder Line Category,Power Outage Group,Billing Period (Start),Billing Period (End),Billing Date,Billing Area,Account Name,Mailing Address,Unified Business Number (UBN),Previous Meter Reading Date,Current Meter Reading Date,Next Meter Reading Date,Payment Account Number,Next Billing Date,Contract Termination Date,Power Outage Date,Number of Outage Days,Service Office,Industry Category,Lighting Usage Category,Electricity Rate Type,Time Category,Debit Date,Carbon Emissions This Period,Last Year's Average Annual Electricity Rate,Current Period Average Rate per kWh,Verification Code,Number of Usage Days Last Year (Second Half),Billed kWh - Regular (Peak),Previous Prepaid Balance,Number of Usage Days Same Period Last Year,Adjustment Coefficient (%),Power Factor Adjustment Fee,Basic Electricity Fee (Contracted),Basic Electricity Fee (Non-Contracted),Regular (Peak) Demand,Off-Peak Demand,Current Prepaid Balance,Total Amount Payable (Before Tax),Average Electricity Consumption,Excess Electricity Usage Ratio,Additional (or Deducted) Amount,Power Outage Deduction Amount,Electricity Price Adjustment Amount,Billed kWh - Saturday Mid-Peak,Saturday Mid-Peak Demand,Total Amount Payable Same Period Last Year,Electricity Usage Same Period Last Year,Business Tax,Power Factor (%),Billed kWh - Off-Peak,Regular (Peak) Contract,Minimum kWh,E-Bill Discount Amount,Electricity Usage Last Year (Second Half),Variable Electricity Charge,Late Payment Fee,Number of Usage Days This Period,,Maintenance Station,Remarks,***
01F0233N,25.07301944,121.5307028,"N25° 4'22.87""  E121° 31'50.53""",5,4,00-03-9910-00-3,台北市松山區濱江街５號後面５公尺處,11307,2453,8185,已繳,1130723,1130829,ZQ55,C,1130429,1130626,1130703,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1130429,113年06月27日,113年08月29日,000100100******,113年09月04日, , ,0,　,無,B21,表燈營業用,非時間電價,113年07月23日,1214,無,無,257,60,2453,無,61,無,無,無,無,無,無,無,7795.0元,2453,無,無,無,無,無,無,7835元,2457,390.0元,無,無,無,40,-10.0元,2472,8194.8元,無,59,01F-023.3N,北區泰山,,phase 1
01F0233N,25.07301944,121.5307028,"N25° 4'22.87""  E121° 31'50.53""",5,4,00-03-9910-00-3,台北市松山區濱江街５號後面５公尺處,11309,2672,10092,已繳,1130924,1131030,ZQ55,C,1130627,1130828,1130904,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1130627,113年08月29日,113年10月30日,000100100******,113年11月05日, , ,0,　,無,B21,表燈營業用,非時間電價,113年09月23日,1320,無,無,356,61,2672,無,60,無,無,無,無,無,無,無,9611.0元,2672,無,無,-1.7元,無,無,無,8843元,2472,481.0元,無,無,無,40,-10.0元,2375,10104.1元,無,63,01F-023.3N,北區泰山,,phase 1
01F0233N,25.07301944,121.5307028,"N25° 4'22.87""  E121° 31'50.53""",5,4,00-03-9910-00-3,台北市松山區濱江街５號後面５公尺處,11311,2605,8953,已繳,1131125,1131227,ZQ55,C,1130829,1131029,1131105,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1130829,113年10月30日,113年12月27日,000100100******,114年01月06日, , ,0,　,無,B21,表燈營業用,非時間電價,113年11月23日,1287,無,3.45,52,63,2605,無,61,無,無,無,無,無,無,無,8527.0元,2605,無,無,-1.6元,無,無,無,7827元,2375,426.0元,無,無,無,40,-10.0元,2573,8965.0元,無,62,01F-023.3N,北區泰山,,phase 1
01F0233N,25.07301944,121.5307028,"N25° 4'22.87""  E121° 31'50.53""",5,4,00-03-9910-00-3,台北市松山區濱江街５號後面５公尺處,11401,2294,6876,已繳,1140126,1140225,ZQ55,C,1131030,1131226,1140106,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1131030,113年12月27日,114年02月25日,000100100******,114年03月05日, , ,0,　,無,B21,表燈營業用,非時間電價,114年01月23日,1133,無,3.01,50,61,2294,無,63,無,無,無,無,無,無,無,6549.0元,2294,無,無,無,無,無,無,7576元,2573,327.0元,無,無,無,40,-10.0元,2418,6886.1元,無,58,01F-023.3N,北區泰山,,phase 1
01F0256N,25.07806667,121.5091056,"N25° 4'41.04""  E121° 30'32.78""",6,4,00-21-9981-00-1,台北市大同區環河北路二段３９７號邊１５公尺處,11305,2645,7980,已繳,1130529,1130702,SA39,A,1130227,1130502,1130509,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1130227,113年05月03日,113年07月02日,000100100******,113年07月08日, , ,0,　,無,B21,表燈營業用,非時間電價,113年05月23日,1309,無,無,54,61,2645,無,56,無,無,無,無,無,無,無,7600.0元,983,169,無,無,無,無,無,6339元,2213,380.0元,無,無,無,40,-10.0元,2454,7989.5元,無,66,01F-025.6N,北區泰山,,Phase 1
01F0256N,25.07806667,121.5091056,"N25° 4'41.04""  E121° 30'32.78""",6,4,00-21-9981-00-1,台北市大同區環河北路二段３９７號邊１５公尺處,11307,2486,8445,已繳,1130728,1130903,SA39,A,1130503,1130701,1130708,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1130503,113年07月02日,113年09月03日,000100100******,113年09月09日, , ,0,　,無,B21,表燈營業用,非時間電價,113年07月23日,1231,無,無,657,62,2486,無,61,無,無,無,無,無,無,無,8043.0元,1160,114,無,無,無,無,無,7849元,2454,402.0元,無,無,無,40,-10.0元,2563,8455.1元,無,60,01F-025.6N,北區泰山,,phase 1
01F0256N,25.07806667,121.5091056,"N25° 4'41.04""  E121° 30'32.78""",6,4,00-21-9981-00-1,台北市大同區環河北路二段３９７號邊１５公尺處,11309,2651,10000,已繳,1130929,1131104,SA39,A,1130702,1130902,1130909,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1130702,113年09月03日,113年11月04日,000100100******,113年11月08日, , ,0,　,無,B21,表燈營業用,非時間電價,113年09月23日,1310,無,無,256,59,2651,無,62,無,無,無,無,無,無,無,9524.0元,1430,85,無,無,無,無,無,9230元,2563,476.0元,無,無,無,40,-10.0元,2380,10010.4元,無,63,01F-025.6N,北區泰山,,phase 1
01F0256N,25.07806667,121.5091056,"N25° 4'41.04""  E121° 30'32.78""",6,4,00-21-9981-00-1,台北市大同區環河北路二段３９７號邊１５公尺處,11311,2558,8622,已繳,1131128,1131230,SA39,A,1130903,1131103,1131108,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1130903,113年11月04日,113年12月30日,000100100******,114年01月07日, , ,0,　,無,B21,表燈營業用,非時間電價,113年11月23日,1264,無,3.38,52,63,2558,無,59,無,無,無,無,無,無,無,8211.0元,1174,118,無,無,無,無,無,7800元,2380,411.0元,無,無,無,40,-10.0元,2460,8632.4元,無,62,01F-025.6N,北區泰山,,phase 1
01F0256N,25.07806667,121.5091056,"N25° 4'41.04""  E121° 30'32.78""",6,4,00-21-9981-00-1,台北市大同區環河北路二段３９７號邊１５公尺處,11401,2215,6591,已繳,1140127,1140226,SA39,A,1131104,1131229,1140107,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1131104,113年12月30日,114年02月26日,000100100******,114年03月06日, , ,0,　,無,B21,表燈營業用,非時間電價,114年01月23日,1094,無,2.99,250,61,2215,無,63,無,無,無,無,無,無,無,6277.0元,786,182,無,無,無,無,無,7189元,2460,314.0元,無,無,無,40,-10.0元,2400,6600.9元,無,56,01F-025.6N,北區泰山,,phase 1
