﻿氣象署  逐日氣象資料
測站：五股  Wugu C0AI00
項目：平均氣溫(℃)Temperature
時間：2024年
緯度：25°04'34.42〞N經度：121°25'08.59〞E
Day/Month,1,2,3,4,5,6,7,8,9,10,11,12,Day/Month
1,16.3,22.2,10.1,23.3,23.3,27.3,30.6,30.2,32.2,26.7,22.7,19.2,1
2,20.1,18.7,10.3,27.3,21.1,23.1,29.0,31.1,31.7,24.7,22.0,21.0,2
3,14.6,19.3,13.6,27.2,23.5,21.7,29.5,30.9,30.4,22.8,22.3,20.4,3
4,15.1,20.2,18.6,25.2,26.4,23.9,30.4,30.9,31.4,23.0,23.7,19.1,4
5,17.5,15.9,24.5,20.4,26.9,23.8,31.0,30.3,32.2,25.4,20.7,19.0,5
6,17.7,16.2,16.8,21.7,26.9,23.2,30.5,29.4,32.4,26.9,18.6,19.5,6
7,17.0,14.5,13.5,22.3,26.0,25.4,30.0,29.5,29.4,26.1,18.6,17.2,7
8,18.9,12.6,13.7,21.8,25.1,26.5,27.9,29.3,28.7,22.4,20.6,14.4,8
9,18.1,10.4,12.9,17.9,23.0,27.8,28.6,29.8,30.5,21.6,23.0,16.5,9
10,15.1,13.2,16.8,20.6,26.6,28.7,27.8,28.8,28.4,21.6,22.1,17.9,10
11,13.5,15.1,17.3,23.9,26.6,29.4,29.1,29.5,29.8,22.8,22.7,17.9,11
12,16.5,18.1,18.5,24.9,27.0,29.8,30.6,29.9,30.3,24.1,22.6,16.0,12
13,18.4,18.8,18.0,26.8,18.1,30.0,29.6,29.3,30.6,26.0,23.9,15.1,13
14,20.6,20.5,19.0,26.0,20.0,29.0,30.7,27.7,26.3,26.9,26.0,11.5,14
15,16.6,21.3,18.2,27.3,23.4,29.4,30.4,26.9,28.6,26.1,25.3,12.2,15
16,16.7,15.6,20.2,26.4,22.7,29.1,30.5,28.4,29.8,24.5,23.6,13.5,16
17,21.3,17.9,21.7,26.7,25.2,28.8,30.3,28.1,30.6,26.1,21.9,15.6,17
18,20.3,21.5,18.4,22.2,26.3,28.2,31.0,28.5,29.3,26.5,17.9,13.4,18
19,21.5,22.9,14.0,24.8,26.9,29.0,30.8,28.5,28.5,25.7,17.2,11.6,19
20,18.7,24.3,16.2,25.7,26.5,29.6,31.2,28.0,28.5,23.5,19.0,14.2,20
21,14.2,24.8,19.5,26.0,26.3,30.3,31.6,28.9,26.9,24.4,17.6,13.7,21
22,11.7,20.6,21.6,26.1,24.6,31.1,32.5,30.6,25.8,24.7,17.4,11.9,22
23,7.6,16.0,24.1,26.1,24.9,30.2,30.0,28.6,26.2,20.8,17.9,14.4,23
24,9.4,16.2,25.4,20.7,25.1,29.3,27.0,29.2,25.9,21.5,19.2,15.1,24
25,10.2,13.7,25.8,23.2,27.1,28.8,26.3,29.2,26.1,25.5,22.7,17.6,25
26,12.4,12.8,20.1,23.9,27.2,29.5,27.1,28.8,26.1,27.2,16.8,16.1,26
27,13.2,13.2,21.3,25.1,26.9,30.8,28.8,30.5,25.7,27.1,16.7,15.5,27
28,12.8,16.8,24.4,26.2,22.3,28.6,30.6,29.7,25.6,21.9,15.4,11.3,28
29,18.5,16.7,25.0,27.6,23.1,28.8,30.1,29.4,25.7,21.1,14.9,14.2,29
30,18.0, ,24.0,26.6,27.9,30.5,29.2,30.2,25.2,21.7,17.5,15.7,30
31,21.5, ,23.3, ,29.0, ,28.8,30.5, ,23.4, ,14.8,31
平均,16.3,17.6,18.9,24.5,25.0,28.1,29.7,29.4,28.6,24.3,20.4,15.7,平均
