﻿氣象署  逐日氣象資料
測站：南投  Nantou C0I460
項目：平均氣溫(℃)Temperature
時間：2024年
緯度：23°54'47.55〞N經度：120°40'45.06〞E
Day/Month,1,2,3,4,5,6,7,8,9,10,11,12,Day/Month
1,18.5,22.3,15.4,25.8,25.0,28.9,31.3,30.0,28.8,28.6,25.5,19.3,1
2,18.4,21.6,13.0,27.3,25.3,26.4,30.0,30.7,29.9,26.4,26.6,20.7,2
3,17.2,22.2,16.8,28.3,26.0,24.2,29.4,30.9,30.7,25.6,26.1,21.5,3
4,16.9,21.4,20.5,27.5,27.3,25.6,30.6,31.1,30.0,25.8,26.0,21.8,4
5,17.5,20.7,26.0,25.0,26.8,25.5,30.1,30.6,28.8,27.4,24.5,21.0,5
6,18.0,19.7,23.8,25.0,28.3,26.5,29.0,28.2,28.5,28.0,23.2,21.0,6
7,17.5,16.9,16.7,25.1,28.0,27.4,27.6,28.4,28.1,28.1,23.0,20.7,7
8,18.7,15.1,17.5,25.8,27.6,28.0,26.5,28.5,26.6,27.0,23.1,19.0,8
9,19.7,13.3,15.3,22.2,26.4,27.4,27.5,29.2,27.4,26.7,25.0,19.7,9
10,17.8,14.4,17.3,23.7,26.1,28.3,28.1,29.2,28.3,25.5,24.9,20.4,10
11,15.5,15.8,17.5,25.3,26.8,29.0,28.4,29.7,29.1,25.7,25.2,20.8,11
12,16.6,15.7,19.4,27.3,28.3,29.5,30.1,30.2,28.8,27.2,25.4,19.9,12
13,17.9,16.7,19.5,27.1,24.4,29.1,29.0,28.8,28.4,27.7,26.6,18.7,13
14,18.2,18.8,19.8,27.7,23.4,28.4,30.1,27.5,25.9,27.8,26.3,15.0,14
15,18.1,21.2,20.5,28.1,25.5,30.3,30.7,27.0,28.3,27.9,25.8,15.0,15
16,18.1,18.9,22.8,26.9,25.3,30.0,29.0,27.8,29.4,28.2,25.4,15.3,16
17,19.2,20.1,24.2,27.3,26.1,30.3,28.3,27.7,30.6,28.3,25.9,17.1,17
18,21.1,21.4,22.1,28.0,26.1,28.3,29.5,27.8,28.8,28.5,22.7,16.8,18
19,21.7,24.1,18.4,26.7,26.4,28.7,30.7,27.5,28.9,28.0,21.5,14.9,19
20,20.9,25.3,19.3,28.0,26.6,29.1,30.5,28.6,28.6,27.4,22.5,16.5,20
21,18.0,24.7,20.4,28.7,26.6,29.4,29.6,28.4,27.4,27.6,22.5,17.3,21
22,15.1,23.6,21.5,28.1,26.7,30.9,30.5,29.6,26.7,27.3,22.0,15.2,22
23,9.6,20.3,25.8,25.9,26.9,30.6,31.3,30.1,28.0,25.6,22.0,15.4,23
24,11.7,20.3,27.3,24.2,26.4,29.0,27.7,28.2,28.3,24.9,23.4,16.8,24
25,13.2,18.9,27.2,24.1,27.8,28.4,26.3,28.8,28.3,27.2,23.3,19.1,25
26,15.2,16.5,26.0,24.1,27.5,30.0,26.5,29.3,29.1,27.6,21.7,19.9,26
27,15.5,16.4,23.6,26.3,27.2,30.6,28.7,29.7,28.3,27.7,18.7,18.1,27
28,15.7,19.8,25.6,25.0,25.8,30.2,29.4,30.6,28.5,25.5,18.3,14.9,28
29,17.7,21.2,26.3,27.9,26.6,31.0,28.0,29.0,29.1,25.1,17.2,15.7,29
30,20.1, ,26.0,27.5,28.3,30.9,28.7,29.9,29.3,25.8,18.3,18.8,30
31,21.4, ,26.7, ,29.9, ,28.8,30.5, ,26.2, ,17.6,31
平均,17.4,19.6,21.4,26.3,26.6,28.7,29.1,29.2,28.6,27.0,23.4,18.2,平均
