﻿氣象署  逐日氣象資料
測站：嘉義  CHIAYI 467480
項目：平均氣溫(℃)Temperature
時間：2024年
緯度：23°29′51.62〞N經度：120°25′29.22〞E
Day/Month,1,2,3,4,5,6,7,8,9,10,11,12,Day/Month
1,18.2,21.4,15.3,25.7,24.5,30.1,31.4,30.4,28.2,28.3,25.7,18.6,1
2,18.2,20.7,13.2,27.1,24.9,26.4,30.5,30.7,29.4,25.9,25.4,19.4,2
3,17.9,20.5,16.7,27.9,24.7,24.0,28.8,30.6,30.4,24.7,25.0,20.4,3
4,16.1,20.8,20.4,26.6,26.1,24.9,29.8,30.7,29.5,25.6,25.1,21.3,4
5,17.4,19.8,26.4,24.4,26.3,25.7,29.4,29.2,28.3,26.6,23.4,20.3,5
6,17.4,19.0,24.1,24.5,27.3,26.4,28.5,27.5,28.3,27.5,22.3,20.7,6
7,17.6,17.2,16.7,25.5,26.9,26.8,27.3,28.5,28.4,27.5,22.0,20.4,7
8,17.8,15.2,16.9,25.3,26.7,28.2,26.0,29.2,26.6,26.8,22.2,18.8,8
9,19.4,13.9,15.0,22.1,25.0,28.5,28.2,28.6,26.9,26.1,24.1,18.9,9
10,17.8,14.9,16.5,23.4,25.2,29.3,29.9,27.6,28.3,24.9,24.1,19.8,10
11,15.1,15.7,17.9,25.0,26.0,28.9,29.0,29.2,28.8,24.8,24.2,20.5,11
12,16.3,15.9,19.2,26.7,27.7,29.1,30.5,29.5,28.2,26.2,24.6,19.8,12
13,17.2,16.6,19.5,26.3,24.2,29.2,29.9,29.6,28.1,26.7,25.7,18.9,13
14,18.0,18.9,19.4,28.0,23.1,29.4,30.1,29.3,25.6,26.9,25.3,15.0,14
15,17.8,21.2,20.7,27.5,24.2,30.7,30.1,27.6,28.1,27.1,24.9,15.1,15
16,17.6,18.3,22.4,26.4,24.5,30.2,28.7,27.7,28.8,27.5,24.7,15.0,16
17,18.6,19.0,23.7,26.6,24.7,30.4,28.4,27.3,29.9,28.0,25.1,16.5,17
18,19.7,22.0,21.5,27.5,24.3,30.2,29.0,29.0,29.0,27.7,22.3,17.1,18
19,21.2,23.9,18.6,26.7,25.6,29.9,30.1,27.8,29.0,27.2,21.2,15.0,19
20,20.5,25.3,19.4,28.2,26.2,30.0,29.8,28.4,27.3,27.0,22.3,16.3,20
21,18.5,24.6,19.7,28.0,27.0,30.8,29.1,29.2,27.4,26.5,21.8,17.5,21
22,15.1,22.8,21.4,28.2,26.7,32.1,30.1,29.2,26.0,26.3,21.6,15.1,22
23,9.7,20.1,25.7,26.5,27.1,32.0,30.5,29.8,28.2,24.4,21.4,15.4,23
24,12.4,19.5,26.6,26.1,26.4,30.7,27.8,28.3,28.4,24.2,22.0,16.6,24
25,13.9,17.9,26.8,23.9,27.4,29.3,26.4,28.8,28.4,26.5,22.4,18.8,25
26,15.0,16.0,24.9,24.4,26.1,28.9,26.8,28.5,28.6,27.4,21.5,19.7,26
27,15.3,16.4,22.8,26.0,27.8,29.5,29.6,29.4,28.0,26.8,18.4,17.7,27
28,15.8,19.2,24.7,24.7,25.9,30.6,28.7,30.0,28.1,25.2,17.7,15.1,28
29,17.4,20.7,25.1,27.2,26.0,31.2,28.4,29.1,28.6,24.4,17.1,15.4,29
30,19.6, ,26.2,26.6,28.6,30.9,29.3,29.7,28.7,24.8,17.2,18.7,30
31,22.1, ,26.8, ,30.5, ,29.7,30.1, ,25.4, ,17.7,31
平均,17.3,19.2,21.1,26.1,26.1,29.1,29.1,29.1,28.3,26.3,22.7,17.9,平均
