﻿氣象署  逐日氣象資料
測站：基隆  KEELUNG 466940
項目：平均氣溫(℃)Temperature
時間：2024年
緯度：25°08′06.47〞N經度：121°43′56.15〞E
Day/Month,1,2,3,4,5,6,7,8,9,10,11,12,Day/Month
1,17.0,20.1,12.0,22.4,22.9,26.1,29.6,30.0,30.4,29.0,25.3,19.2,1
2,17.7,18.6,12.0,25.6,21.2,22.8,29.5,30.9,30.6,25.3,23.2,21.5,2
3,15.4,17.8,14.0,26.8,22.4,22.7,29.9,30.6,29.8,23.5,24.2,22.1,3
4,16.1,18.5,17.0,23.5,25.6,24.8,30.4,30.1,30.7,24.9,24.4,20.9,4
5,17.2,16.0,21.6,19.8,25.9,24.5,30.9,29.8,31.0,26.4,23.4,20.3,5
6,17.9,15.4,16.7,20.4,26.9,23.1,30.3,28.7,31.4,27.2,21.8,20.2,6
7,17.8,14.8,14.1,20.7,24.9,24.9,30.4,29.3,29.3,25.7,20.9,18.7,7
8,18.2,13.2,14.4,21.3,24.5,25.6,28.5,29.5,28.5,24.8,21.5,16.0,8
9,17.8,12.4,14.5,19.3,22.4,26.6,28.8,29.5,28.9,24.5,23.0,17.7,9
10,16.3,13.9,17.0,21.3,26.2,28.2,28.7,29.6,28.6,24.1,23.1,18.0,10
11,14.6,14.3,17.2,22.9,25.8,29.6,28.6,30.0,29.3,24.5,23.4,18.8,11
12,15.4,17.1,16.5,23.7,25.8,31.0,30.3,30.0,29.5,24.8,23.6,17.8,12
13,17.5,17.1,18.3,24.4,19.2,30.4,29.6,30.0,29.1,26.7,24.6,16.5,13
14,19.7,17.9,19.6,25.7,20.3,28.8,30.6,28.5,26.5,27.6,26.8,14.0,14
15,17.3,18.9,19.2,26.6,20.9,29.4,31.7,27.3,28.2,27.2,27.8,14.5,15
16,17.2,14.4,18.5,26.1,22.4,28.0,32.3,28.1,29.2,25.8,23.9,15.2,16
17,20.9,16.7,19.3,27.3,25.6,28.5,30.5,28.8,29.9,26.1,22.8,16.7,17
18,19.5,18.4,16.8,23.0,25.0,27.3,30.6,29.6,28.5,27.7,20.8,15.5,18
19,19.9,21.9,14.9,25.3,25.8,28.2,31.5,29.6,28.2,26.3,20.0,13.7,19
20,19.3,21.8,16.5,25.6,24.9,29.3,31.4,28.6,29.3,24.6,20.3,15.7,20
21,15.1,22.3,18.3,25.9,24.9,29.7,31.4,28.9,27.2,25.1,19.1,15.4,21
22,12.3,17.9,21.0,25.8,24.1,30.0,31.2,29.6,26.9,24.8,20.0,14.4,22
23,9.5,14.1,22.6,25.5,23.8,29.9,29.5,28.2,26.7,23.1,20.5,16.4,23
24,11.1,14.6,24.3,21.1,24.7,29.4,28.4,28.8,27.5,22.6,20.9,16.8,24
25,11.8,12.3,25.0,23.2,26.0,29.5,28.9,28.9,27.5,26.1,23.6,18.8,25
26,13.6,12.3,19.8,23.6,26.4,29.9,28.4,28.8,26.8,28.2,18.8,17.7,26
27,14.0,13.6,19.2,24.7,26.6,30.5,29.4,30.4,26.5,26.6,17.4,16.9,27
28,13.8,15.8,23.1,25.9,23.4,29.1,30.7,29.9,27.6,23.9,16.5,13.7,28
29,17.8,15.9,21.9,27.7,23.5,29.6,29.5,29.3,27.7,23.7,15.6,15.6,29
30,17.4, ,22.7,26.6,26.8,29.9,28.9,29.7,27.8,23.5,17.3,16.9,30
31,18.7, ,22.8, ,27.6, ,29.5,29.8, ,26.2, ,16.0,31
平均,16.4,16.5,18.4,24.1,24.4,27.9,30.0,29.4,28.6,25.5,21.8,17.2,平均
