﻿氣象署  逐日氣象資料
測站：宜蘭  YILAN 467080
項目：平均氣溫(℃)Temperature
時間：2024年
緯度：24°45′56.85〞N經度：121°44′54.03〞E
Day/Month,1,2,3,4,5,6,7,8,9,10,11,12,Day/Month
1,16.3,22.1,14.0,23.2,24.1,26.5,29.7,29.6,29.8,27.5,26.2,19.6,1
2,17.9,20.6,12.3,24.5,21.2,23.8,30.4,29.8,29.7,25.8,23.1,21.0,2
3,16.3,20.6,14.4,26.1,22.1,22.6,30.3,30.0,29.2,24.6,23.3,20.0,3
4,15.6,20.5,19.3,25.8,25.2,23.8,30.3,29.6,29.9,25.9,23.6,19.2,4
5,17.9,18.1,22.3,21.1,26.2,24.9,30.3,29.4,29.9,26.2,21.7,19.1,5
6,18.6,16.4,17.8,21.8,26.7,24.5,30.6,28.8,30.1,27.2,19.1,19.3,6
7,17.2,17.3,15.3,22.8,25.6,25.1,30.3,29.1,28.9,27.0,19.0,19.7,7
8,18.0,14.7,13.8,23.8,24.5,25.9,28.8,28.7,27.7,24.6,21.1,16.2,8
9,19.9,14.1,13.1,19.7,22.2,26.6,29.3,27.7,28.5,23.5,23.8,16.5,9
10,16.4,13.8,16.3,20.6,24.9,27.5,29.5,28.5,30.2,23.3,23.5,19.1,10
11,13.4,15.0,18.1,22.9,25.2,28.3,29.6,29.3,29.3,23.3,23.5,20.1,11
12,16.2,16.8,17.7,24.6,26.4,29.0,29.7,29.6,28.6,23.9,23.4,18.3,12
13,18.0,18.6,17.1,25.1,21.0,28.5,30.4,28.6,28.6,26.2,23.9,18.6,13
14,18.5,19.1,18.4,26.0,20.4,27.6,30.3,27.6,27.8,26.8,25.5,14.4,14
15,17.2,20.5,19.0,26.7,22.5,28.7,30.9,27.0,28.5,26.3,25.9,14.3,15
16,15.4,17.8,20.9,26.4,21.8,29.0,30.7,28.1,28.3,26.3,25.1,14.5,16
17,18.5,20.3,21.6,26.7,24.4,28.5,30.9,29.6,29.3,26.9,22.6,17.0,17
18,19.2,21.9,17.5,23.3,25.5,27.1,30.7,29.6,28.1,27.2,20.1,15.5,18
19,20.1,22.9,17.2,23.6,25.9,28.2,31.6,28.9,29.0,26.8,18.8,12.6,19
20,20.7,23.8,15.8,25.9,25.3,29.0,31.2,28.9,29.1,25.0,20.2,16.1,20
21,16.3,24.3,17.5,26.1,25.3,29.5,30.6,29.1,27.5,24.9,20.0,15.7,21
22,14.1,21.3,20.2,26.0,25.4,30.5,30.4,28.9,26.9,25.9,19.0,13.3,22
23,9.8,16.5,22.6,25.4,24.6,29.5,27.4,28.6,26.5,22.4,18.5,14.9,23
24,10.3,16.9,24.3,21.4,25.0,29.0,27.7,28.8,27.2,22.2,19.3,16.2,24
25,12.2,14.6,24.9,22.9,26.0,29.0,27.8,27.8,27.8,26.9,22.5,19.6,25
26,13.6,13.7,20.2,23.5,26.8,29.8,27.3,28.7,27.9,27.1,18.9,18.5,26
27,14.4,14.9,18.9,24.7,26.6,30.2,27.1,29.4,27.0,26.7,16.7,16.3,27
28,13.9,18.5,22.5,25.3,23.9,29.5,28.8,29.1,27.0,23.9,16.4,13.9,28
29,17.0,19.6,22.3,27.0,23.8,29.8,28.2,29.3,26.6,22.7,16.2,14.7,29
30,19.3, ,22.2,27.6,26.4,30.1,28.7,29.4,26.5,23.0,17.8,18.0,30
31,21.2, ,23.1, ,27.0, ,29.5,29.3, ,26.0, ,16.2,31
平均,16.6,18.5,18.7,24.4,24.6,27.7,29.7,28.9,28.4,25.4,21.3,17.1,平均
