﻿氣象署  逐日氣象資料
測站：斗南  Dounan C0K460
項目：平均氣溫(℃)Temperature
時間：2024年
緯度：23°40'49.72〞N經度：120°28'12.83〞E
Day/Month,1,2,3,4,5,6,7,8,9,10,11,12,Day/Month
1,17.8,21.7,14.7,25.2,24.6,29.2,31.0,30.1,29.0,28.6,25.2,19.4,1
2,18.0,20.4,12.8,26.8,24.5,26.0,30.3,30.6,30.0,26.1,25.4,20.4,2
3,17.2,20.3,16.4,27.6,24.6,23.6,29.2,30.5,30.3,24.9,24.8,21.5,3
4,16.5,20.3,20.1,26.7,26.0,24.8,30.1,31.0,30.2,25.2,25.1,21.4,4
5,17.5,19.5,25.9,24.2,26.4,25.3,29.6,30.0,28.6,26.5,23.7,20.4,5
6,17.9,18.3,23.4,24.1,27.6,26.0,28.5,28.1,29.0,27.8,22.5,20.7,6
7,17.3,16.3,16.1,24.8,26.9,26.4,27.5,28.7,28.7,27.7,22.2,20.3,7
8,17.8,14.5,16.6,25.0,26.7,28.0,26.5,28.9,27.0,26.7,22.5,18.1,8
9,18.9,12.9,14.6,21.4,24.9,27.9,28.3,28.7,26.8,26.0,24.5,19.4,9
10,17.5,14.2,16.3,23.0,25.2,28.8,29.7,28.0,28.4,24.7,24.4,19.9,10
11,15.5,15.4,17.3,24.4,26.7,28.7,29.4,29.3,29.0,24.9,24.2,20.8,11
12,16.8,16.0,18.8,26.4,28.3,28.7,30.5,29.9,28.6,26.4,24.6,19.4,12
13,18.1,17.7,19.6,26.4,23.7,29.0,29.8,30.1,28.4,27.1,25.7,18.4,13
14,18.7,19.8,19.1,27.4,23.0,28.7,30.4,28.4,25.9,27.4,25.0,14.5,14
15,18.0,21.9,20.2,27.3,24.6,30.1,30.4,26.7,28.3,27.2,24.7,14.7,15
16,17.6,17.6,22.3,26.6,24.4,30.1,29.2,27.3,29.1,27.3,24.5,14.9,16
17,18.8,18.4,23.7,26.7,24.7,30.0,28.6,27.2,30.0,28.0,25.0,16.7,17
18,20.0,21.8,20.8,27.6,24.8,29.9,29.3,28.0,29.5,27.8,22.3,16.7,18
19,21.1,24.1,17.9,26.1,26.0,29.7,30.3,27.4,28.9,27.3,21.1,14.6,19
20,20.1,25.1,18.9,27.6,26.2,29.8,30.0,28.3,27.3,26.7,22.0,16.4,20
21,17.5,24.8,19.7,28.2,26.8,30.8,29.3,29.0,27.3,26.4,21.6,16.9,21
22,14.4,22.5,22.1,27.7,26.7,31.4,30.1,29.4,25.7,26.4,21.4,14.7,22
23,9.2,19.1,26.0,26.3,27.0,31.5,30.7,29.5,28.4,24.6,21.4,15.2,23
24,11.7,18.8,26.8,24.9,26.2,30.3,27.6,28.6,28.7,24.4,22.1,16.4,24
25,13.2,17.3,26.6,23.5,27.3,28.9,25.9,29.1,28.7,26.5,22.4,18.5,25
26,14.5,15.3,24.7,24.3,26.8,29.6,26.8,28.7,28.8,26.6,20.8,19.3,26
27,14.7,15.7,22.3,26.0,27.3,30.5,29.5,29.3,28.2,26.6,18.2,17.5,27
28,15.2,18.5,25.1,25.1,25.6,31.1,28.7,30.0,28.4,25.0,18.0,14.7,28
29,16.8,20.2,25.5,27.4,25.5,31.0,28.2,29.1,29.2,24.4,17.3,15.5,29
30,19.2, ,25.9,27.0,28.2,30.5,29.2,29.6,29.1,24.9,18.1,18.5,30
31,21.6, ,26.5, ,29.8, ,29.6,30.3, ,25.7, ,17.6,31
平均,17.1,18.9,20.9,25.9,26.0,28.9,29.2,29.0,28.5,26.3,22.7,17.9,平均
