﻿氣象署  逐日氣象資料
測站：新竹市東區  Dongqu Hsinshu City C0D660
項目：平均氣溫(℃)Temperature
時間：2024年
緯度：24°48'01.58〞N經度：120°58'43.45〞E
Day/Month,1,2,3,4,5,6,7,8,9,10,11,12,Day/Month
1,16.7,21.1,11.2,24.4,23.0,27.8,30.0,29.4,30.1,28.3,23.5,18.7,1
2,17.5,18.3,11.1,25.4,21.6,24.1,29.9,30.1,29.8,25.0,23.1,20.5,2
3,15.5,18.3,13.7,27.3,23.4,22.1,29.9,30.0,29.5,23.6,23.8,20.8,3
4,15.6,18.4,17.3,25.2,25.1,23.4,30.2,30.1,30.9,23.5,24.2,20.6,4
5,16.7,16.5,25.0,21.5,25.6,22.4,30.2,29.9,30.6,25.9,22.3,20.0,5
6,17.1,16.3,17.6,21.9,26.8,X,29.5,28.9,30.0,27.1,20.5,20.5,6
7,17.1,13.8,13.8,22.4,26.2,X,29.9,28.5,28.2,26.2,20.9,18.6,7
8,18.9,12.4,14.3,22.0,25.4,X,28.3,28.9,27.7,23.9,21.8,15.5,8
9,18.1,11.1,13.8,18.9,23.5,X,28.8,29.2,28.6,23.7,22.8,17.7,9
10,16.2,13.4,16.8,21.0,24.6,X,29.0,29.3,28.3,23.1,22.6,18.9,10
11,14.2,15.5,15.5,23.6,25.1,29.1,29.3,29.5,28.7,24.0,23.2,18.9,11
12,15.6,16.1,18.2,24.0,26.7,29.9,30.1,29.7,29.7,25.8,24.7,17.3,12
13,17.4,15.9,19.1,25.5,20.0,30.0,30.5,29.2,30.3,27.1,25.6,15.9,13
14,17.8,18.2,18.1,24.6,21.4,29.3,31.0,27.9,26.8,27.1,24.9,12.6,14
15,16.7,19.9,17.1,26.7,23.8,29.6,30.5,26.9,27.9,27.4,24.6,13.3,15
16,17.5,14.8,19.4,25.4,23.5,29.0,30.2,27.6,29.3,26.6,23.2,14.2,16
17,18.0,16.8,21.3,25.8,23.8,29.1,30.1,27.1,30.5,27.1,22.9,16.1,17
18,19.5,20.7,18.0,23.6,25.6,28.9,30.6,28.4,29.0,26.9,19.9,14.9,18
19,19.8,23.0,14.8,24.1,26.1,29.0,30.3,29.0,28.5,26.8,19.8,13.0,19
20,18.4,24.1,17.0,26.1,26.6,29.1,30.7,29.1,28.9,24.6,20.6,15.3,20
21,14.3,24.0,18.7,26.3,26.2,30.1,30.3,29.5,26.0,25.8,19.0,14.7,21
22,11.7,19.3,20.6,25.6,24.5,30.1,31.0,29.8,26.2,25.2,19.7,13.1,22
23,7.4,14.9,23.4,25.8,25.1,30.2,30.7,28.4,26.6,22.1,20.0,15.2,23
24,10.1,15.1,25.5,20.9,25.3,29.8,27.6,28.1,26.7,21.2,21.4,16.5,24
25,11.1,13.5,25.5,22.3,26.1,28.3,26.9,28.6,27.2,25.2,22.0,17.3,25
26,12.7,12.7,20.9,23.4,27.0,29.5,27.0,28.7,27.3,26.3,18.4,16.8,26
27,13.3,13.3,20.3,25.3,27.3,30.0,28.7,28.9,26.8,26.3,17.0,16.3,27
28,13.4,15.6,23.7,26.7,23.1,29.4,29.6,29.2,27.1,23.0,16.5,12.5,28
29,17.0,17.0,24.7,27.5,23.8,30.3,28.3,29.2,28.5,22.2,15.7,15.4,29
30,17.4, ,24.2,26.2,26.5,30.5,27.8,29.6,29.2,22.4,17.5,16.2,30
31,21.0, ,25.1, ,30.5, ,28.3,29.9, ,25.9, ,16.1,31
平均,15.9,16.9,18.9,24.3,24.9,28.4,29.5,29.0,28.5,25.1,21.4,16.6,平均
