﻿氣象署  逐日氣象資料
測站：板橋  Banchiao C0AJ80
項目：平均氣溫(℃)Temperature
時間：2024年
緯度：25°00′44.75〞N經度：121°26′26.30〞E
Day/Month,1,2,3,4,5,6,7,8,9,10,11,12,Day/Month
1,16.7,21.8,11.5,23.9,23.7,27.6,30.1,30.5,31.7,29.3,24.6,19.4,1
2,19.1,19.5,11.3,26.8,21.3,23.0,29.0,31.4,31.6,26.0,22.9,21.9,2
3,15.1,19.6,13.9,27.2,23.2,22.0,29.6,31.5,30.4,24.1,24.0,22.2,3
4,15.9,19.8,18.1,25.1,26.4,25.0,30.6,31.4,31.3,24.9,24.8,20.8,4
5,16.9,16.1,24.3,20.4,26.9,23.4,31.0,30.7,31.7,27.1,22.6,20.2,5
6,17.7,15.7,17.5,21.3,27.1,23.1,30.4,29.8,32.0,28.6,20.7,20.7,6
7,17.4,14.9,13.7,21.9,26.0,25.1,29.7,29.5,29.3,26.9,20.4,19.5,7
8,18.4,13.3,14.0,21.9,25.2,26.9,28.2,29.6,29.1,23.9,21.9,15.7,8
9,18.2,11.3,13.7,18.6,22.8,27.9,27.9,29.5,30.1,23.7,23.8,17.8,9
10,15.7,13.5,17.1,21.4,26.6,29.5,27.8,28.5,28.5,23.8,23.6,18.7,10
11,14.3,15.4,16.4,23.9,26.6,30.2,29.4,29.8,30.1,24.2,23.2,19.5,11
12,16.3,18.1,18.1,25.1,27.1,30.8,31.0,29.2,30.1,25.8,23.7,17.6,12
13,18.1,17.8,18.2,25.9,19.6,31.2,30.0,29.1,30.1,27.8,,16.5,13
14,20.1,18.8,19.4,25.9,20.9,30.2,30.9,27.7,26.7,28.7,,13.1,14
15,16.4,20.2,18.0,27.5,23.3,30.4,31.2,26.9,29.2,27.8,27.2,13.9,15
16,16.9,15.5,20.0,27.0,22.5,29.4,30.4,28.7,30.4,26.5,24.9,14.8,16
17,20.9,18.3,21.6,26.8,25.3,29.4,30.5,28.5,30.8,27.5,23.1,16.8,17
18,20.1,21.2,17.6,22.8,25.9,28.4,31.5,28.9,28.2,28.5,19.9,15.2,18
19,20.9,23.9,14.7,24.9,27.1,28.7,30.9,28.3,28.2,27.7,19.4,13.2,19
20,19.2,24.7,16.1,26.3,26.1,29.9,31.5,27.9,29.8,24.3,20.5,15.3,20
21,15.0,24.4,18.8,26.6,26.1,30.1,31.5,29.6,26.6,25.7,19.5,15.5,21
22,12.8,20.1,21.2,26.2,24.6,31.4,31.8,30.6,26.0,25.3,19.3,13.7,22
23,8.0,15.1,24.0,26.6,24.8,29.8,29.7,28.8,27.0,22.1,19.9,15.8,23
24,10.2,15.5,25.9,21.0,25.6,28.7,28.1,29.2,27.8,22.3,20.8,16.4,24
25,11.0,12.8,25.8,23.0,27.4,28.2,27.6,29.5,28.0,27.0,24.4,19.3,25
26,12.6,12.5,19.7,23.8,27.2,29.2,27.1,29.5,27.7,28.9,18.8,17.7,26
27,13.4,13.4,20.2,25.1,27.5,30.8,29.0,30.8,27.6,28.3,17.6,16.6,27
28,13.2,16.7,24.4,26.3,23.4,29.3,30.7,29.7,27.3,23.6,17.1,13.3,28
29,18.4,16.9,24.1,28.4,23.6,29.6,30.4,28.9,27.8,22.9,16.1,15.7,29
30,18.0, ,23.8,27.2,28.0,30.7,28.7,30.2,27.9,22.9,18.4,17.1,30
31,20.4, ,23.4, ,29.2, ,28.5,30.7, ,26.2, ,16.1,31
平均,16.4,17.5,18.9,24.6,25.2,28.3,29.8,29.5,29.1,25.9,21.5,17.1,平均
