﻿氣象署  逐日氣象資料
測站：桃園  Taoyuan C0C480
項目：平均氣溫(℃)Temperature
時間：2024年
緯度：24°59' 39〞N經度：121°18' 54〞E
Day/Month,1,2,3,4,5,6,7,8,9,10,11,12,Day/Month
1,16.7,21.6,11.2,24.1,23.4,27.7,30.9,30.5,32.3,29.1,24.4,18.9,1
2,18.9,18.9,11.0,26.6,21.6,23.2,29.6,31.9,32.1,26.2,23.2,21.5,2
3,15.1,19.2,13.6,27.9,23.7,22.0,29.6,32.1,30.9,23.8,24.2,22.1,3
4,15.5,19.8,17.3,25.2,26.4,24.6,30.6,32.0,31.8,24.3,24.8,20.6,4
5,16.7,16.2,24.7,21.0,26.7,23.5,31.0,31.4,32.3,27.0,22.2,20.0,5
6,17.4,16.1,17.4,21.6,27.5,22.8,30.9,29.8,32.4,28.7,20.8,20.6,6
7,17.0,14.5,13.6,22.3,26.4,24.8,29.9,29.5,29.6,27.4,20.5,19.2,7
8,18.5,12.7,14.2,21.8,25.7,27.0,28.5,30.0,29.0,23.4,22.0,15.5,8
9,18.2,11.2,13.6,18.4,23.2,28.0,28.8,30.4,30.3,23.6,23.4,17.6,9
10,15.7,13.2,16.8,20.9,26.7,29.5,28.2,28.2,28.6,23.5,23.0,19.1,10
11,14.3,15.3,16.0,23.8,26.8,30.3,29.6,29.3,29.8,24.3,23.3,19.5,11
12,16.1,18.0,18.0,25.0,27.3,31.2,31.4,29.8,30.5,26.0,23.6,17.6,12
13,17.8,17.6,18.3,26.2,19.2,31.5,30.7,29.7,30.5,28.1,25.2,16.6,13
14,19.3,18.3,19.1,25.6,20.7,30.4,31.1,28.0,26.5,28.6,26.4,13.1,14
15,16.5,20.1,17.9,27.5,23.9,30.5,31.8,26.7,28.8,28.0,25.8,13.7,15
16,17.0,15.6,19.7,26.7,23.1,29.9,30.7,28.4,30.5,26.9,24.7,14.8,16
17,20.7,17.6,21.6,26.8,25.3,29.6,31.0,28.8,31.1,27.6,22.8,16.6,17
18,20.4,21.1,18.3,23.2,26.5,28.9,31.7,29.3,28.6,27.9,19.7,14.9,18
19,21.2,23.6,14.5,25.0,26.9,30.0,31.2,29.4,28.5,27.8,19.1,12.8,19
20,19.0,24.0,16.3,26.6,26.3,30.6,31.4,28.4,29.4,24.6,20.7,15.4,20
21,14.4,23.9,19.1,26.5,26.4,31.3,31.9,29.8,26.7,26.1,19.3,14.8,21
22,11.7,20.6,21.2,26.0,24.5,31.9,32.6,30.9,25.8,25.8,19.4,13.3,22
23,7.8,15.7,23.5,26.3,24.8,31.1,30.2,29.7,27.0,22.1,19.9,15.4,23
24,10.0,15.8,25.4,21.1,25.4,30.0,27.3,29.6,27.3,21.5,20.8,16.3,24
25,10.7,13.2,25.6,22.8,26.9,28.2,26.8,30.1,27.7,26.6,23.5,18.3,25
26,12.3,12.7,20.3,23.4,27.1,29.9,26.9,29.9,27.5,28.0,18.7,17.5,26
27,13.0,13.3,20.7,25.1,27.4,31.2,29.1,31.0,27.5,28.3,17.6,16.8,27
28,13.0,16.4,24.4,26.6,23.1,29.9,31.0,30.4,26.9,23.5,16.8,13.0,28
29,18.4,17.2,24.7,28.4,23.7,29.4,30.7,29.9,27.7,22.2,16.1,15.3,29
30,17.6, ,24.1,27.0,28.0,31.1,28.9,30.6,27.8,22.5,18.2,16.9,30
31,21.4, ,23.6, ,29.6, ,28.6,31.6, ,25.5, ,16.1,31
平均,16.2,17.4,18.9,24.7,25.3,28.7,30.1,29.9,29.2,25.8,21.7,16.9,平均
