﻿氣象署  逐日氣象資料
測站：深坑  Shenkeng C0AH80
項目：平均氣溫(℃)Temperature
時間：2024年
緯度：25°00'16.16〞N經度：121°37'12.38〞E
Day/Month,1,2,3,4,5,6,7,8,9,10,11,12,Day/Month
1,16.9,22.2,12.1,23.7,23.1,27.6,/,30.1,30.9,29.2,27.7,19.1,1
2,17.8,19.6,12.5,26.7,21.5,24.3,26.6,30.9,30.6,26.5,X,20.7,2
3,15.0,20.0,14.8,27.4,23.1,22.5,29.9,31.0,29.5,25.0,X,21.0,3
4,15.7,20.7,18.7,25.3,26.6,25.3,30.4,30.4,30.9,26.1,X,20.3,4
5,18.1,16.8,23.2,20.2,27.0,25.4,30.3,29.7,31.3,27.1,X,19.6,5
6,17.8,16.7,16.6,21.9,27.2,24.6,30.4,28.5,31.6,28.4,X,20.1,6
7,17.7,15.9,14.4,22.8,26.3,26.5,29.9,29.9,28.4,26.6,X,18.6,7
8,18.3,14.0,13.4,23.0,25.2,27.6,28.0,,28.9,24.7,X,15.5,8
9,18.1,12.6,13.0,18.5,22.5,27.7,28.7,,29.3,23.6,X,17.1,9
10,15.0,12.2,17.4,21.2,25.7,28.9,28.0,,28.6,23.6,X,18.4,10
11,13.0,,17.7,24.1,26.4,30.0,28.5,,29.7,24.2,X,19.0,11
12,14.1,,17.5,25.4,26.8,29.4,30.1,30.2,29.6,25.6,X,17.4,12
13,,,18.0,25.9,19.5,29.8,28.6,28.3,29.4,27.8,X,16.9,13
14,,,19.6,26.3,19.8,29.1,30.2,27.6,26.9,28.0,X,13.1,14
15,17.2,21.7,19.0,27.4,21.6,29.6,30.7,26.8,29.0,27.2,X,13.8,15
16,17.0,15.8,20.6,27.2,22.1,28.8,30.9,27.9,29.6,26.5,X,14.7,16
17,20.7,19.2,21.9,27.0,25.3,28.9,30.2,27.9,30.3,27.5,X,16.5,17
18,19.4,21.4,18.0,22.6,25.4,28.3,30.7,28.2,28.4,28.2,18.6,15.3,18
19,20.0,23.5,15.4,24.7,27.0,28.7,31.0,28.7,28.6,27.2,19.2,13.4,19
20,19.5,24.1,15.0,26.3,26.6,29.8,31.0,28.1,29.6,24.8,20.6,15.7,20
21,15.3,23.7,18.3,26.5,26.4,29.8,31.1,28.9,27.6,26.3,19.2,16.1,21
22,12.9,19.2,21.2,26.2,25.6,30.8,31.2,29.4,27.3,25.7,18.7,,22
23,9.1,15.6,24.3,26.6,25.4,30.0,28.8,28.7,27.6,22.7,19.0,,23
24,10.2,16.3,25.5,21.3,26.1,28.7,28.2,29.0,28.0,23.3,20.2,,24
25,11.9,13.5,25.9,23.8,27.5,28.9,29.0,29.3,28.3,27.8,24.1,19.9,25
26,13.3,13.2,19.7,24.4,27.4,29.3,27.9,29.2,27.5,29.3,18.5,17.6,26
27,14.2,14.4,19.9,25.6,27.4,30.6,29.3,30.6,27.2,28.1,16.4,17.2,27
28,13.7,18.0,24.0,26.0,23.4,30.5,30.1,30.3,26.6,23.9,15.0,14.5,28
29,18.6,18.1,23.9,27.9,23.6,/,29.8,29.0,27.4,23.1,14.6,16.6,29
30,18.3, ,23.2,26.9,28.1,/,29.2,30.0,27.6,24.2,15.9,17.6,30
31,20.9, ,23.2, ,28.4, ,29.1,30.0, ,27.4, ,15.9,31
平均,16.2,17.9,19.0,24.8,25.1,28.3,29.6,29.2,28.9,26.1,19.1,17.2,平均
