﻿氣象署  逐日氣象資料
測站：臺中  TAICHUNG 467490
項目：平均氣溫(℃)Temperature
時間：2024年
緯度：24°08′50.98〞N經度：120°40′33.29〞E
Day/Month,1,2,3,4,5,6,7,8,9,10,11,12,Day/Month
1,18.5,22.3,15.1,25.0,24.2,28.4,31.1,30.1,27.9,29.3,24.4,19.5,1
2,19.1,21.3,13.2,27.0,25.0,26.4,30.7,30.7,29.4,26.5,26.0,20.8,2
3,17.6,21.8,16.8,28.2,25.4,24.4,30.6,31.0,30.5,25.8,25.7,21.5,3
4,17.0,20.6,20.1,27.2,26.8,25.2,31.1,31.1,30.7,26.0,25.9,21.8,4
5,17.2,20.6,25.6,24.7,26.7,24.8,30.8,30.7,28.8,27.5,24.9,21.1,5
6,18.1,19.1,23.3,24.8,27.9,26.1,30.1,28.6,28.6,28.1,22.9,21.1,6
7,17.9,16.5,16.8,24.1,27.5,27.2,29.6,28.5,28.0,28.0,23.1,20.8,7
8,18.8,15.0,17.6,24.8,27.0,28.5,28.1,28.7,26.8,27.2,23.6,18.7,8
9,19.8,13.3,15.1,21.8,25.7,28.0,29.1,28.5,27.0,26.8,25.1,19.7,9
10,18.4,14.6,17.1,23.7,26.0,28.8,28.5,28.9,28.5,25.5,24.8,20.4,10
11,15.9,16.2,16.9,25.0,26.8,29.1,28.2,29.9,28.3,25.7,25.2,21.2,11
12,16.8,15.9,19.8,26.7,28.2,29.8,30.3,29.2,28.5,27.2,25.4,20.1,12
13,17.7,17.1,19.9,27.0,23.9,29.1,30.4,28.3,28.3,27.6,26.7,18.7,13
14,18.6,19.1,19.6,27.2,23.4,27.6,30.8,27.7,25.4,27.6,25.8,14.9,14
15,18.3,21.4,19.8,28.0,25.5,30.2,31.2,27.3,27.6,28.1,26.0,15.2,15
16,18.3,18.7,22.1,26.9,25.2,30.2,30.6,28.2,28.9,28.2,25.3,15.4,16
17,19.0,19.6,23.4,27.5,25.8,30.2,29.1,27.4,30.6,28.2,25.8,17.3,17
18,20.7,21.7,21.1,28.1,25.9,28.4,30.0,28.0,29.1,28.3,22.8,16.8,18
19,21.7,24.2,18.0,26.8,27.1,29.2,30.9,28.0,29.1,28.2,21.5,14.6,19
20,21.1,25.0,19.2,28.1,27.3,30.0,31.0,28.5,29.1,27.4,22.5,16.9,20
21,17.7,24.7,20.5,28.5,27.4,29.9,30.5,29.2,26.6,27.3,22.1,17.3,21
22,15.0,23.0,22.0,28.0,27.5,30.9,30.9,29.6,26.1,26.9,21.9,15.0,22
23,9.5,19.6,25.6,26.1,27.1,30.5,31.6,29.8,27.3,25.5,21.9,15.6,23
24,11.9,19.6,27.2,23.3,26.5,29.2,27.3,28.2,27.9,25.5,23.0,17.1,24
25,13.3,18.1,27.0,23.8,28.0,28.9,26.3,28.3,28.1,27.5,23.4,18.8,25
26,15.1,16.1,25.5,24.0,27.7,30.5,26.3,28.7,29.1,27.8,21.2,19.8,26
27,15.2,15.9,22.5,26.4,27.5,30.6,28.8,29.3,28.7,27.4,19.2,18.2,27
28,15.3,18.9,25.5,24.8,25.7,30.2,30.5,30.1,28.6,25.7,18.6,14.9,28
29,17.5,20.6,26.2,28.0,26.5,31.1,28.7,29.7,29.2,25.4,17.8,16.3,29
30,20.0, ,25.7,26.5,28.0,31.1,28.8,29.9,29.8,26.3,18.3,18.5,30
31,21.8, ,25.4, ,29.6, ,28.8,30.4, ,26.4, ,18.3,31
平均,17.5,19.3,21.1,26.1,26.5,28.8,29.7,29.1,28.4,27.1,23.4,18.3,平均
