﻿氣象署  逐日氣象資料
測站：臺南  TAINAN 467410
項目：平均氣溫(℃)Temperature
時間：2024年
緯度：22°59′42.05〞N經度：120°11′48.57〞E
Day/Month,1,2,3,4,5,6,7,8,9,10,11,12,Day/Month
1,19.1,23.0,16.7,26.5,25.8,30.6,30.7,29.8,30.1,28.3,26.6,20.7,1
2,19.2,22.4,14.2,27.6,26.4,27.3,31.1,30.5,30.7,25.1,26.8,21.2,2
3,18.5,21.3,18.2,28.1,26.5,25.7,31.5,30.7,30.4,24.2,26.3,22.4,3
4,17.3,21.5,22.2,27.7,27.4,25.9,31.2,31.0,30.3,26.2,26.5,22.7,4
5,19.0,20.8,26.5,26.4,28.3,27.1,30.5,30.3,28.5,27.5,25.1,21.7,5
6,19.2,20.0,25.3,26.4,28.6,27.4,30.6,28.5,28.4,28.0,23.6,21.7,6
7,18.9,18.8,17.6,27.3,28.5,28.1,29.1,30.0,28.0,28.5,23.3,21.5,7
8,18.9,17.4,18.1,27.3,28.4,28.8,28.6,30.1,27.5,28.4,23.5,19.4,8
9,19.9,15.2,17.3,24.3,26.9,29.3,29.6,27.0,28.1,27.5,25.0,19.8,9
10,18.9,16.1,17.6,24.7,26.4,28.8,30.7,26.7,29.2,26.2,25.5,21.1,10
11,16.8,17.6,19.9,26.3,28.3,27.9,30.7,28.6,29.7,26.4,25.3,21.6,11
12,18.6,17.7,20.8,26.9,28.9,28.3,31.1,29.9,30.1,27.4,24.7,20.4,12
13,19.6,19.0,21.3,27.6,26.2,28.5,30.6,30.0,29.0,27.5,25.9,19.5,13
14,20.0,22.0,20.9,28.2,24.9,28.6,31.4,29.5,27.0,28.0,26.1,15.7,14
15,19.5,23.4,21.7,27.6,26.3,29.9,30.1,27.9,28.7,27.9,25.0,15.7,15
16,19.1,19.6,23.6,27.3,27.3,30.2,30.2,28.0,30.2,28.4,24.6,15.9,16
17,20.2,20.0,25.0,27.6,26.3,30.3,30.8,26.4,30.7,28.3,25.8,18.0,17
18,21.0,23.7,22.5,28.4,26.0,30.4,30.4,27.8,30.3,28.5,22.9,18.0,18
19,22.5,25.4,20.1,27.7,28.0,30.5,30.5,26.3,30.0,28.1,22.3,15.7,19
20,21.6,26.1,20.4,28.2,27.5,30.9,30.9,27.4,28.6,28.2,22.9,17.3,20
21,19.7,26.2,21.3,28.9,28.2,31.1,29.4,29.5,28.3,27.6,22.7,18.0,21
22,16.4,24.7,23.4,28.8,28.5,31.6,30.6,29.8,26.0,27.5,22.4,15.5,22
23,10.6,21.9,26.4,28.6,28.8,31.4,30.3,29.9,28.3,26.0,22.7,15.4,23
24,13.4,21.2,27.0,27.2,28.3,31.1,27.8,29.5,29.1,25.2,23.3,16.8,24
25,15.2,19.6,27.2,24.5,29.8,31.2,27.1,29.9,29.6,26.9,23.4,19.3,25
26,15.7,17.6,26.4,23.9,27.4,30.9,27.2,29.8,29.7,27.8,22.4,20.2,26
27,16.6,17.8,24.8,25.1,28.2,30.9,28.3,29.8,29.1,27.6,19.4,18.1,27
28,16.7,20.2,26.3,25.4,26.4,31.3,29.8,30.3,29.6,26.0,19.5,16.0,28
29,18.2,21.8,26.3,27.6,27.1,30.2,28.4,30.6,29.7,25.7,18.9,16.1,29
30,20.3, ,26.7,27.8,28.8,29.9,29.0,31.0,29.4,25.8,19.4,19.5,30
31,22.4, ,27.3, ,30.4, ,29.4,30.8, ,25.7, ,18.8,31
平均,18.5,20.8,22.4,27.0,27.6,29.5,29.9,29.3,29.1,27.1,23.7,18.8,平均
