﻿氣象署  逐日氣象資料
測站：苗栗  Miaoli C0E750
項目：平均氣溫(℃)Temperature
時間：2024年
緯度：24°34'00.0〞N經度：120°48'59.2〞E
Day/Month,1,2,3,4,5,6,7,8,9,10,11,12,Day/Month
1,16.8,21.2,11.7,25.1,23.7,28.1,30.4,29.9,29.8,28.5,24.2,19.2,1
2,17.4,19.0,11.2,26.5,22.6,25.3,30.4,30.3,29.7,25.6,24.1,20.3,2
3,15.8,18.5,14.6,27.9,23.7,22.6,30.1,30.1,29.6,24.4,24.7,21.0,3
4,15.9,18.0,17.8,26.2,25.3,24.1,30.4,30.4,30.5,23.6,24.7,20.6,4
5,16.6,17.1,26.1,22.7,26.2,23.5,29.9,30.1,30.3,26.3,23.4,20.0,5
6,16.7,16.7,19.2,22.7,27.3,23.2,29.5,29.0,29.9,27.6,21.3,19.9,6
7,16.5,14.0,14.2,23.0,26.2,25.0,29.8,27.9,28.1,26.6,21.9,19.5,7
8,17.0,12.7,14.7,22.8,25.9,27.0,28.6,29.3,27.5,25.1,22.7,16.6,8
9,18.6,11.0,13.3,19.4,23.5,27.9,29.4,29.0,28.5,25.0,23.8,18.9,9
10,16.4,13.3,16.1,22.5,24.3,28.9,28.9,29.3,28.4,24.0,23.2,18.9,10
11,14.2,14.1,15.7,24.0,25.5,29.2,29.2,29.7,28.9,24.4,24.2,19.7,11
12,15.0,15.2,17.8,25.4,27.2,29.5,30.1,29.9,28.5,25.6,24.8,18.5,12
13,16.3,16.2,17.7,25.9,20.9,29.6,30.4,29.5,28.9,26.8,25.8,17.0,13
14,17.7,18.1,18.3,25.7,21.2,29.1,30.0,28.9,27.1,27.2,25.7,13.2,14
15,16.8,20.5,17.7,27.3,23.4,30.0,30.3,28.6,28.1,27.7,24.8,13.7,15
16,17.4,15.9,19.9,26.1,23.6,29.4,30.3,28.1,29.2,27.2,24.0,14.2,16
17,17.7,16.8,21.7,26.8,24.0,29.9,30.1,27.5,30.0,27.5,24.1,15.9,17
18,19.6,20.8,18.8,25.0,25.0,29.5,30.4,28.8,29.2,27.5,21.0,15.5,18
19,20.0,23.9,15.5,24.6,26.4,29.3,30.2,29.0,28.7,27.4,20.5,13.5,19
20,19.4,25.1,17.5,27.3,26.8,29.9,30.4,29.6,29.0,25.9,21.2,15.8,20
21,15.0,24.4,18.5,27.5,26.5,30.5,30.4,29.8,26.8,26.3,20.0,15.2,21
22,12.3,20.5,21.1,26.4,25.5,30.8,30.5,29.9,27.4,25.6,20.4,13.5,22
23,7.7,16.3,24.1,26.4,25.4,30.6,30.3,29.5,26.9,23.9,20.8,14.7,23
24,9.8,16.4,26.2,21.5,25.7,30.2,27.6,28.1,27.8,23.2,22.1,17.0,24
25,11.0,14.8,26.2,22.9,26.4,29.4,27.2,28.7,27.9,26.4,22.5,17.3,25
26,13.1,13.5,22.9,25.4,27.2,29.5,28.2,29.0,28.2,27.4,19.2,18.0,26
27,13.6,13.8,20.2,26.5,27.9,29.8,29.1,29.1,27.8,27.0,17.5,17.3,27
28,13.6,16.4,24.4,26.8,24.9,29.7,29.6,29.8,27.6,24.2,16.4,13.2,28
29,16.3,17.7,24.8,28.2,23.9,30.4,28.8,29.7,28.5,23.5,16.3,15.7,29
30,17.1, ,25.1,26.9,27.0,30.3,28.9,29.7,29.0,24.3,17.1,16.1,30
31,19.8, ,26.0, ,29.4, ,29.2,30.0, ,25.8, ,15.9,31
平均,15.8,17.3,19.3,25.2,25.2,28.4,29.6,29.3,28.6,25.9,22.1,17.0,平均
