﻿氣象署  逐日氣象資料
測站：蘇澳  Suao C0UB10
項目：平均氣溫(℃)Temperature
時間：2024年
緯度：24°35′55.50〞N經度：121°50′56.02〞E
Day/Month,1,2,3,4,5,6,7,8,9,10,11,12,Day/Month
1,16.1,21.8,13.7,22.7,23.9,26.3,29.8,29.0,29.3,28.1,26.6,19.6,1
2,17.3,19.8,12.0,24.7,21.1,23.3,30.2,29.3,29.3,26.9,22.4,20.7,2
3,16.0,20.1,14.4,25.6,21.8,22.6,30.1,29.6,29.3,24.6,23.0,19.6,3
4,15.6,20.4,19.9,24.8,25.2,24.1,29.8,29.4,29.8,25.6,23.2,19.0,4
5,17.5,17.7,22.1,20.6,26.5,25.4,29.9,29.0,29.4,25.9,22.2,19.0,5
6,18.4,16.4,17.2,21.3,26.3,24.4,30.4,28.2,30.1,26.5,19.2,19.0,6
7,17.0,16.9,15.1,22.0,24.6,24.3,29.4,29.5,28.6,26.1,19.3,19.8,7
8,17.3,14.5,14.3,23.0,24.1,25.4,28.7,29.4,27.6,24.8,21.7,15.6,8
9,18.9,13.6,13.6,19.1,22.6,26.2,29.3,28.7,28.3,23.2,,16.9,9
10,16.9,13.7,16.2,20.2,24.3,27.1,29.9,28.9,30.0,23.3,,19.5,10
11,14.3,15.1,18.8,23.0,25.6,27.9,29.9,29.6,29.6,22.9,24.0,19.8,11
12,15.7,17.4,17.5,25.1,26.5,28.7,29.8,29.5,28.1,24.2,23.4,18.0,12
13,17.9,20.1,16.9,24.6,20.6,28.5,30.0,29.2,28.2,26.1,24.1,18.4,13
14,18.6,19.2,18.4,26.0,20.5,27.3,29.9,28.1,27.2,26.3,26.3,14.1,14
15,17.5,20.4,20.2,26.1,22.0,28.5,30.8,26.8,28.2,26.1,26.8,14.0,15
16,15.4,16.7,21.5,26.1,22.3,29.2,30.6,27.9,28.6,26.0,24.6,14.7,16
17,18.7,19.6,21.5,26.7,24.2,28.3,30.0,29.0,29.5,26.0,22.3,17.1,17
18,18.9,22.0,17.2,23.2,25.1,26.9,30.5,28.9,27.9,26.2,19.9,15.5,18
19,19.4,23.1,16.6,23.2,25.5,27.8,31.0,28.4,28.9,26.0,18.8,13.0,19
20,20.2,23.3,16.4,26.0,24.8,29.2,31.1,29.4,29.2,24.4,20.1,16.5,20
21,15.7,24.4,17.4,26.1,25.4,29.7,30.4,29.2,28.6,25.5,19.6,15.6,21
22,13.6,20.4,20.5,26.0,25.1,30.6,30.0,29.1,27.5,25.6,18.5,13.4,22
23,9.5,15.8,23.2,25.7,24.3,30.5,27.6,28.8,26.2,22.5,18.7,15.6,23
24,10.2,16.5,25.2,21.4,24.7,29.2,27.3,28.5,26.6,22.6,19.4,16.8,24
25,12.1,14.1,25.8,22.9,26.1,29.0,27.5,28.6,27.0,26.8,22.6,19.9,25
26,13.3,13.3,19.6,23.9,26.9,29.7,28.4,28.5,26.8,27.0,18.7,18.4,26
27,13.9,15.1,18.7,24.4,26.2,30.2,28.3,29.2,26.3,26.3,17.2,16.2,27
28,13.8,18.2,22.5,25.1,23.5,28.4,29.0,29.0,26.7,24.0,17.2,13.8,28
29,17.7,18.5,21.8,26.3,23.9,28.5,27.9,29.2,26.8,22.5,17.0,15.1,29
30,19.3, ,22.0,27.0,26.2,29.3,28.5,29.0,26.6,23.6,17.5,17.5,30
31,21.0, ,22.8, ,27.5, ,28.8,29.1, ,25.7, ,17.3,31
平均,16.4,18.2,18.8,24.1,24.4,27.6,29.5,28.9,28.2,25.2,21.2,17.1,平均
