﻿氣象署  逐日氣象資料
測站：麟洛  Linluo C0R570
項目：平均氣溫(℃)Temperature
時間：2024年
緯度：22°39'09.20〞N經度：120°31'08.90〞E
Day/Month,1,2,3,4,5,6,7,8,9,10,11,12,Day/Month
1,21.8,24.4,21.0,28.9,28.2,31.4,31.9,30.8,29.5,27.4,27.9,22.1,1
2,21.4,24.4,18.5,28.8,29.0,28.2,32.1,31.6,31.0,25.3,28.1,22.9,2
3,20.3,24.2,21.3,29.5,29.0,27.8,32.1,30.2,30.9,24.8,28.4,23.7,3
4,18.9,25.0,23.7,28.9,29.5,27.3,31.7,31.3,30.8,27.9,28.1,24.7,4
5,20.0,25.7,27.6,29.0,30.0,27.6,31.2,29.8,29.8,28.3,27.7,24.1,5
6,20.4,23.6,26.8,28.6,30.2,28.6,30.6,27.9,29.2,27.7,26.2,24.7,6
7,20.9,23.4,21.9,28.9,30.3,28.8,29.2,29.6,29.1,28.3,25.7,24.3,7
8,20.7,21.9,20.6,29.3,29.3,30.0,28.2,29.9,27.8,28.6,25.8,22.1,8
9,22.0,19.4,21.1,27.7,28.4,30.4,29.7,28.4,28.3,27.6,27.7,22.2,9
10,20.2,19.0,21.0,27.3,28.3,30.0,31.5,27.2,28.6,27.1,27.8,22.7,10
11,18.0,20.2,22.7,27.8,29.2,29.3,31.9,29.8,29.3,26.7,27.7,23.8,11
12,19.0,19.0,22.3,28.6,30.1,28.9,32.5,29.6,29.8,27.5,26.4,22.9,12
13,20.0,19.8,22.8,28.6,29.4,28.6,31.6,30.3,28.6,28.3,28.0,22.4,13
14,20.5,22.8,22.3,29.3,26.9,30.3,31.5,29.2,27.2,28.9,27.6,19.8,14
15,20.7,23.8,24.2,29.3,28.5,31.0,29.6,28.0,29.5,28.9,26.1,18.9,15
16,20.2,23.1,25.3,28.8,28.4,31.0,31.3,28.3,29.9,29.1,25.2,19.2,16
17,20.7,22.5,26.1,29.0,28.3,31.3,31.5,27.9,31.9,28.8,28.0,21.1,17
18,21.9,24.3,25.0,29.2,29.0,31.7,31.3,28.5,30.1,29.7,25.6,20.7,18
19,23.8,25.6,24.3,29.6,29.3,31.7,32.0,27.1,30.7,29.3,25.4,19.1,19
20,23.5,26.8,23.1,29.5,28.6,31.4,31.7,29.6,29.3,29.6,25.5,19.2,20
21,21.9,26.4,23.1,29.8,29.4,32.0,29.6,30.5,28.8,29.2,25.8,21.5,21
22,18.9,25.8,24.0,29.9,30.1,32.3,31.2,31.1,26.3,29.3,25.2,19.0,22
23,13.5,25.2,26.9,29.6,30.4,32.4,30.4,31.5,29.3,28.2,25.6,17.5,23
24,15.2,24.5,28.0,27.8,29.1,31.7,28.2,29.7,30.8,27.5,25.8,18.8,24
25,17.2,23.8,28.1,24.9,30.3,32.4,27.8,29.1,30.5,27.6,24.0,22.3,25
26,17.8,21.6,28.1,25.3,28.5,32.5,29.3,29.0,30.8,28.6,24.9,23.3,26
27,18.8,21.1,27.5,26.1,28.6,31.2,29.6,30.8,30.7,28.0,21.7,20.8,27
28,19.3,23.5,27.2,27.4,26.9,32.1,30.2,32.0,30.2,26.4,21.3,18.9,28
29,20.4,24.4,27.2,29.7,29.4,30.2,28.1,31.8,30.1,27.3,20.9,18.3,29
30,22.2, ,27.7,28.9,30.0,30.9,29.8,31.2,28.1,27.1,21.3,21.9,30
31,23.5, ,28.9, ,31.2, ,29.8,29.6, ,25.8, ,21.7,31
平均,20.1,23.3,24.5,28.5,29.2,30.4,30.6,29.7,29.6,27.9,25.9,21.4,平均
