Meteorological Station,LatitudeLongitude,File Name
五股  Wugu C0AI00,"25°04'34.42""N  121°25'08.59""E",逐日平均氣溫年報表_2024 五股 _ csv_1
斗南  Dounan C0K460,"23°40'49.72""N  120°28'12.83""E",逐日平均氣溫年報表_2024 斗南 _ csv_15
宜蘭  YILAN 467080,"24°45'56.85""N  121°44'54.03""E",逐日平均氣溫年報表_2024 宜蘭 _ csv_12
板橋  Banchiao C0AJ80,"25°00'44.75""N  121°26'26.30""E",逐日平均氣溫年報表_2024 板橋 _ csv
南投  Nantou C0I460,"23°54'47.55""N  120°40'45.06""E",逐日平均氣溫年報表_2024 南投 _ csv_7
恆春  HENGCHUN 467590,"22°00'20.38""N  120°44'17.91""E",逐日平均氣溫年報表_2024 恆春 _ csv_8
苗栗  Miaoli C0E750,"24°34'00.0""N  120°48'59.2""E",逐日平均氣溫年報表_2024 苗栗 _ csv_5
員林  Yuanlin C0G650,"23°56'53""N  120°34'40""E",逐日平均氣溫年報表_2024 員林 _ csv_16
桃園  Taoyuan C0C480,"24°59'39""N  121°18'54""E",逐日平均氣溫年報表_2024 桃園 _ csv_4
高雄  Kaohsiung 467441,"22°43'55.82""N  120°18'15.97""E",逐日平均氣溫年報表_2024 高雄 _ csv_11
基隆  KEELUNG 466940,"25°08'06.47""N  121°43'56.15""E",逐日平均氣溫年報表_2024 基隆 _ csv_3
深坑  Shenkeng C0AH80,"25°00'16.16""N  121°37'12.38""E",逐日平均氣溫年報表_2024 深坑 _ csv
新竹市東區  Dongqu Hsinshu City C0D660,"24°48'01.58""N  120°58'43.45""E",逐日平均氣溫年報表_2024 新竹市東區 _ csv
嘉義  CHIAYI 467480,"23°29'51.62""N  120°25'29.22""E",逐日平均氣溫年報表_2024 嘉義 _ csv_9
臺中  TAICHUNG 467490,"24°08'50.98""N  120°40'33.29""E",逐日平均氣溫年報表_2024 臺中 _ csv_6
臺北  TAIPEI 466920,"25°02'22.06""N  121°30'23.93""E",逐日平均氣溫年報表_2024 臺北 _ csv_2
臺南  TAINAN 467410,"22°59'42.05""N  120°11'48.57""E",逐日平均氣溫年報表_2024 臺南 _ csv_13
蘇澳  Suao C0UB10,"24°35'55.50""N  121°50'56.02""E",逐日平均氣溫年報表_2024 蘇澳 _ csv_10
麟洛  Linluo C0R570,"22°39'09.20""N  120°31'08.90""E",逐日平均氣溫年報表_2024 麟洛 _ csv_14
